,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.39,0.89,0.75,0.85,0.67,0.4,0.45,0.45,0.42,0.31,0.3,0.26,0.23,0.26,0.32
e_1,0.72,1.0,1.11,0.9,0.83,0.84,0.51,0.59,0.35,0.42,0.43,0.42,0.39,0.37,0.33,0.32
c_1,1.13,0.9,1.0,1.09,1.26,0.84,0.57,0.33,0.4,0.41,0.35,0.35,0.38,0.35,0.28,0.3
d_1,1.34,1.11,0.92,1.0,0.93,0.71,0.45,0.42,0.57,0.35,0.43,0.39,0.44,0.28,0.34,0.25
b_1,1.18,1.21,0.79,1.07,1.0,1.2,0.53,0.52,0.46,0.47,0.39,0.43,0.41,0.34,0.31,0.31
a_1,1.48,1.19,1.2,1.41,0.83,1.0,0.76,0.72,0.61,0.73,0.71,0.55,0.44,0.43,,0.41
h_1,2.56,1.93,1.79,2.23,1.93,1.3,1.0,0.98,0.72,1.15,0.78,0.74,0.91,0.69,0.67,0.81
d_0,2.17,1.65,3.01,2.3,2.06,1.33,0.99,1.0,0.98,0.99,0.95,0.87,0.78,0.72,0.62,0.7
c_0,2.33,2.81,2.77,1.71,2.17,1.62,1.37,1.0,1.0,1.04,1.36,1.03,0.8,0.69,0.76,0.75
g_1,2.42,2.39,2.56,2.86,2.09,1.32,0.86,1.04,0.96,1.0,0.93,1.17,0.7,0.85,0.75,0.44
b_0,3.19,2.24,3.19,2.18,2.72,1.3,1.22,1.09,0.78,1.12,1.0,0.89,0.88,0.97,1.14,0.73
f_0,3.09,2.48,2.69,2.56,2.28,1.67,1.38,1.17,0.99,0.85,1.08,1.0,0.92,1.23,0.85,0.62
h_0,3.9,2.49,2.77,2.44,2.35,2.27,1.13,1.35,1.28,1.39,1.17,1.11,1.0,0.85,0.92,1.13
e_0,4.67,2.41,2.8,3.59,2.63,2.39,1.49,1.36,1.49,1.19,1.03,0.88,1.13,1.0,1.17,1.12
a_0,3.94,2.88,3.6,3.17,3.26,,1.51,1.64,1.38,1.35,0.84,1.13,1.08,1.05,1.0,1.08
g_0,3.17,3.01,3.33,3.98,3.02,2.42,1.22,1.51,1.33,,1.3,1.53,0.89,0.93,0.94,
