,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,9.93,0.78,0.58,0.91,0.65,0.7,0.98,2.31,0.87,0.93,0.99,1.02,0.94,0.96,0.97,0.75
f_1,1.56,9.16,0.7,0.67,0.62,0.66,0.97,1.06,0.85,0.97,0.84,0.68,0.8,1.02,0.95,0.66
d_1,0.61,0.76,12.36,0.5,0.61,0.68,1.01,0.63,2.49,1.09,1.36,1.15,1.12,1.07,1.07,1.22
c_1,0.67,0.67,0.6,12.06,1.74,0.75,0.83,0.79,0.45,0.73,0.63,0.85,0.85,0.79,0.83,0.96
b_1,0.74,0.64,0.7,0.77,13.81,1.52,0.86,0.81,0.79,0.75,0.51,0.87,1.03,0.74,0.82,0.95
a_1,0.6,0.86,0.86,0.75,0.69,21.01,0.99,0.76,0.84,1.03,1.11,0.79,1.25,0.61,1.08,0.9
h_1,0.81,1.05,0.86,0.85,0.67,0.57,3.22,0.78,0.95,1.32,1.11,1.1,0.76,1.01,1.44,1.22
d_0,0.72,0.74,0.48,2.35,0.94,0.78,0.9,1.61,0.71,0.91,1.05,1.06,1.04,1.0,1.01,0.9
c_0,0.66,0.92,1.0,0.67,0.56,0.72,1.15,1.04,2.23,1.27,3.53,1.35,1.6,1.7,1.28,1.23
g_1,0.53,0.69,1.9,0.75,0.59,0.72,0.92,0.78,1.32,3.72,1.23,1.61,1.11,1.15,0.96,1.24
b_0,0.62,0.94,0.88,0.92,0.54,0.57,1.18,1.19,1.19,1.21,2.62,1.41,1.44,3.26,1.27,1.37
f_0,0.43,0.65,1.09,0.92,0.9,0.81,1.22,1.02,1.09,1.27,1.25,2.77,1.24,1.33,1.22,3.3
h_0,0.72,1.29,0.98,0.77,0.73,0.82,0.69,0.85,1.04,1.42,0.99,0.97,0.93,0.93,1.51,0.99
a_0,0.69,0.84,0.94,0.78,0.83,0.55,1.07,1.12,1.3,1.06,1.46,1.43,1.01,2.87,1.08,1.16
g_0,0.59,0.7,1.69,0.68,0.77,0.86,0.88,0.74,1.01,0.79,1.11,1.94,1.12,0.88,0.8,1.48
e_0,0.38,0.83,1.13,0.99,0.89,0.91,1.3,0.86,1.04,1.03,1.25,1.17,1.31,1.15,1.38,2.72
