,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.95,0.44,0.52,0.43,0.36,0.36,0.28,0.24,0.44,0.28,0.27,0.24,0.21,0.24,0.14,0.23
f_1,0.74,0.94,0.48,0.41,0.36,0.28,0.23,0.26,0.29,0.3,0.27,0.15,0.19,0.24,0.17,0.21
c_1,0.41,0.44,0.94,0.43,0.67,0.31,0.33,0.27,0.25,0.24,0.15,0.29,0.22,0.25,0.19,0.24
d_1,0.44,0.48,0.42,0.95,0.42,0.33,0.36,0.28,0.26,0.35,0.44,0.28,0.21,0.23,0.23,0.18
b_1,0.52,0.51,0.38,0.44,0.94,0.6,0.33,0.25,0.26,0.19,0.31,0.23,0.17,0.3,0.2,0.26
a_1,0.52,0.56,0.52,0.55,0.37,0.94,0.47,0.35,0.33,0.34,0.3,0.28,0.2,0.32,0.23,0.25
h_1,0.73,1.06,0.61,0.68,0.67,0.39,0.76,0.53,0.44,0.44,0.44,0.35,0.34,0.34,0.35,0.44
g_1,0.76,0.72,0.72,1.01,0.62,0.4,0.47,0.75,0.41,0.47,0.43,0.57,0.3,0.37,0.39,0.31
d_0,0.66,0.79,1.22,0.52,0.75,0.51,0.5,0.43,0.66,0.52,0.35,0.41,0.35,0.48,0.35,0.36
b_0,0.82,0.76,0.82,0.79,0.47,0.47,0.53,0.45,0.44,0.7,0.48,0.47,0.67,0.49,0.36,0.36
c_0,0.89,0.84,0.69,0.7,0.55,0.59,0.53,0.45,0.59,0.78,0.67,0.47,0.41,0.47,0.38,0.38
f_0,0.76,0.69,0.81,0.8,0.86,0.54,0.56,0.44,0.5,0.54,0.48,0.68,0.45,0.5,0.65,0.34
a_0,0.88,0.93,0.81,0.95,0.89,0.45,0.54,0.53,0.58,0.49,0.51,0.44,0.64,0.59,0.38,0.52
h_0,0.93,1.16,0.85,0.92,0.67,0.54,0.46,0.64,0.46,0.49,0.48,0.46,0.41,0.39,0.32,0.48
e_0,0.83,1.07,0.94,0.81,0.72,0.5,0.56,0.46,0.54,0.61,0.55,0.46,0.52,0.58,0.63,0.5
g_0,1.0,0.78,0.83,1.31,0.69,0.57,0.51,0.38,0.54,0.65,0.54,0.71,0.43,0.46,0.39,0.39
