,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,5.64,0.08,0.08,0.08,0.08,0.07,0.4,0.23,0.64,0.28,0.4,0.35,0.54,0.45,0.28,
f_1,0.15,5.79,0.06,0.07,0.08,0.07,0.27,0.34,0.4,0.51,0.41,,0.57,0.44,0.21,0.38
d_1,0.09,0.07,6.3,0.06,0.07,0.06,0.26,0.24,,0.8,0.42,0.42,0.63,0.5,0.55,0.33
c_1,0.07,0.08,0.09,6.52,0.12,0.08,0.36,0.35,0.37,,0.25,0.34,0.68,0.52,0.43,0.25
b_1,0.07,0.09,0.07,0.08,7.15,0.11,0.26,0.27,0.38,0.45,,0.35,0.83,0.57,0.31,0.33
a_1,0.09,0.08,0.04,0.09,0.09,10.68,0.32,0.32,0.47,0.28,0.31,0.33,0.49,0.67,,
h_1,0.27,0.39,0.3,0.23,0.32,0.24,13.64,1.18,1.39,1.24,1.62,1.91,,2.89,1.66,1.65
g_1,0.23,0.31,0.46,0.3,0.21,0.23,1.38,17.34,1.26,1.18,1.07,2.36,1.94,,1.5,1.58
d_0,0.36,0.42,,0.57,0.5,0.38,1.39,1.16,11.75,1.7,2.15,1.76,3.74,3.2,2.12,1.59
c_0,0.42,0.29,0.38,,0.25,0.34,1.85,1.96,1.98,13.13,3.8,2.34,1.99,3.78,2.02,
b_0,0.3,0.45,0.32,0.49,,0.35,1.83,1.46,2.21,1.64,14.77,1.88,3.11,3.17,3.06,1.95
f_0,0.42,,0.44,0.44,0.34,0.38,1.11,1.68,1.29,1.89,1.7,15.11,3.58,3.47,2.16,
h_0,0.51,0.89,0.52,0.51,0.65,0.54,,2.26,3.66,2.26,2.79,2.82,,5.28,3.23,3.89
g_0,0.5,0.48,1.21,0.5,0.64,0.67,1.72,,2.4,2.0,3.04,4.67,3.68,,,2.71
a_0,0.26,0.27,0.42,0.52,0.31,,1.34,1.1,2.02,3.25,2.66,1.48,4.52,,21.45,
e_0,,0.38,0.26,0.43,0.35,,1.49,1.68,2.01,,1.54,,2.71,3.54,,24.9
