,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.25,0.94,0.86,0.89,0.76,0.6,0.67,0.59,0.66,0.56,0.54,0.48,0.46,0.5,0.59
e_1,0.81,1.0,1.24,0.9,0.89,0.85,0.68,0.89,0.64,0.67,0.67,0.72,0.66,0.6,0.59,0.55
c_1,1.06,0.8,1.0,1.09,1.4,0.95,0.73,0.49,0.56,0.6,0.47,0.58,0.61,0.59,0.49,0.53
d_1,1.17,1.11,0.93,1.0,0.94,0.76,0.67,0.74,0.82,0.56,0.7,0.59,0.66,0.51,0.58,0.45
b_1,1.12,1.12,0.74,1.06,1.0,1.35,0.77,0.64,0.75,0.73,0.67,0.66,0.66,0.56,0.5,0.61
a_1,1.3,1.15,1.08,1.28,0.74,1.0,0.96,0.84,0.82,0.84,1.0,0.78,0.68,0.72,0.83,0.71
h_1,1.65,1.49,1.39,1.51,1.27,0.99,1.0,0.9,0.82,1.14,0.86,0.9,0.82,0.83,0.88,0.93
d_0,1.41,1.13,2.02,1.36,1.58,1.13,1.12,1.0,0.88,1.02,0.92,0.97,0.92,0.91,0.84,0.96
c_0,1.72,1.58,1.78,1.21,1.33,1.21,1.2,1.14,1.0,1.1,1.42,0.95,0.92,0.88,0.94,0.89
g_1,1.56,1.5,1.57,1.78,1.32,1.18,0.89,0.97,0.95,1.0,0.9,1.07,0.77,0.95,0.98,0.73
b_0,1.79,1.5,2.09,1.36,1.49,1.05,1.15,1.15,0.72,1.1,1.0,0.91,1.01,0.99,1.26,0.9
f_0,1.82,1.42,1.67,1.7,1.51,1.2,1.1,1.08,1.04,0.88,1.06,1.0,0.92,1.27,0.97,0.74
h_0,2.0,1.51,1.69,1.55,1.49,1.37,1.24,1.14,1.05,1.29,1.06,1.03,1.01,0.89,0.89,1.17
e_0,2.11,1.69,1.67,1.92,1.71,1.49,1.23,1.03,1.14,1.05,1.01,0.83,1.05,1.0,1.01,1.01
a_0,2.03,1.64,2.09,1.69,2.11,1.2,1.22,1.28,1.06,1.09,0.82,1.01,1.14,1.13,1.0,0.95
g_0,1.75,1.76,1.87,2.18,1.6,1.46,1.11,1.1,1.12,1.37,1.15,1.32,0.85,1.01,1.06,1.0
