,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,0.94,0.28,0.31,0.24,0.27,0.17,0.17,0.28,0.16,0.16,0.13,0.15,0.17,0.14,0.06,0.13
f_1,0.5,0.94,0.29,0.24,0.23,0.16,0.15,0.17,0.15,0.12,0.12,0.06,0.13,0.14,0.1,0.12
c_1,0.32,0.3,0.94,0.34,0.41,0.19,0.2,0.15,0.06,0.1,0.12,0.13,0.14,0.1,0.15,0.14
d_1,0.33,0.34,0.18,0.94,0.25,0.21,0.2,0.12,0.27,0.21,0.14,0.16,0.17,0.13,0.13,0.14
b_1,0.27,0.37,0.28,0.3,0.93,0.34,0.21,0.25,0.17,0.09,0.11,0.17,0.17,0.12,0.12,0.13
a_1,0.31,0.41,0.35,0.31,0.22,0.93,0.24,0.28,0.28,0.21,0.16,0.17,0.23,0.07,0.16,0.14
h_1,0.57,0.83,0.57,0.53,0.38,0.34,0.72,0.28,0.29,0.26,0.31,0.28,0.12,0.17,0.24,0.27
d_0,0.59,0.64,1.03,0.28,0.39,0.27,0.4,0.62,0.31,0.33,0.29,0.24,0.32,0.24,0.26,0.3
c_0,0.67,0.83,0.44,0.56,0.49,0.32,0.44,0.39,0.61,0.45,0.27,0.33,0.33,0.26,0.24,0.23
b_0,0.81,0.78,0.71,0.46,0.28,0.31,0.45,0.44,0.4,0.62,0.29,0.27,0.33,0.44,0.21,0.33
g_1,0.59,0.73,0.65,0.72,0.48,0.36,0.43,0.36,0.4,0.36,0.72,0.38,0.29,0.28,0.24,0.22
f_0,0.58,0.62,0.72,0.67,0.46,0.45,0.44,0.52,0.41,0.41,0.37,0.63,0.42,0.27,0.44,0.3
h_0,0.64,0.9,0.77,0.64,0.41,0.42,0.35,0.39,0.44,0.35,0.39,0.31,0.25,0.29,0.25,0.37
a_0,0.67,0.65,0.78,0.66,0.53,0.24,0.55,0.53,0.38,0.35,0.41,0.41,0.34,0.6,0.31,0.34
e_0,0.46,0.95,0.61,0.77,0.6,0.42,0.47,0.36,0.46,0.42,0.43,0.33,0.47,0.3,0.59,0.34
g_0,0.55,0.69,0.74,0.93,0.65,0.39,0.41,0.43,0.5,0.31,,0.47,0.35,0.28,0.28,0.21
