,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.62,1.15,0.63,0.63,0.51,0.47,0.79,0.94,0.78,0.66,0.88,0.42,0.96,0.89,0.85,0.71
e_1,0.59,2.77,0.5,0.72,0.69,0.64,0.75,0.8,1.77,0.91,0.99,0.98,0.75,0.88,0.94,0.4
d_1,0.7,0.47,3.1,0.5,0.54,0.59,1.04,0.99,0.39,1.8,1.25,1.12,1.08,0.96,0.93,1.07
c_1,0.63,0.61,0.52,3.18,1.14,0.53,0.95,0.78,0.82,0.4,0.62,1.11,0.86,1.08,0.81,0.87
b_1,0.6,0.6,0.53,0.68,3.58,1.21,0.91,0.74,0.84,0.78,0.3,0.76,1.11,0.59,1.06,0.97
a_1,0.71,0.52,0.75,0.55,0.61,4.82,0.91,0.93,0.87,0.88,0.97,1.0,1.2,0.5,0.86,0.93
h_1,1.07,0.7,0.83,0.69,0.6,0.51,2.98,1.47,1.08,1.27,1.11,0.97,0.64,1.12,1.68,1.18
g_1,0.65,0.66,1.2,0.79,0.65,0.66,1.1,3.58,1.0,1.06,1.13,1.72,1.07,1.28,0.73,1.13
d_0,0.79,0.64,0.45,1.5,0.66,0.68,1.09,0.79,2.32,0.87,1.28,1.08,0.99,1.04,1.0,1.68
c_0,0.89,0.64,1.0,0.48,0.46,0.66,1.21,1.22,1.06,2.46,2.35,1.0,1.48,1.52,1.5,1.73
b_0,0.91,0.62,0.89,0.78,0.31,0.6,1.27,1.31,1.19,1.18,2.68,1.13,1.21,2.29,1.39,1.45
f_0,0.42,0.53,1.05,0.84,0.73,0.8,1.21,0.99,1.29,1.6,1.33,3.0,1.17,1.13,1.61,2.68
h_0,1.11,0.71,0.84,0.78,0.74,0.61,0.65,1.44,1.0,1.05,1.2,1.08,0.78,1.26,1.71,1.15
a_0,1.04,0.59,0.87,0.67,0.71,0.34,1.33,1.1,1.08,1.06,1.2,1.4,1.33,3.5,1.33,1.76
g_0,0.64,0.6,1.3,0.78,0.7,0.68,0.84,0.74,0.94,1.19,1.37,1.96,1.14,1.1,0.87,1.23
e_0,0.99,0.39,0.82,0.88,0.65,0.66,1.22,1.18,1.25,1.17,1.42,1.11,1.57,1.74,1.3,3.99
