,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.92,4.0,2.1,2.02,2.13,1.74,7.31,6.42,8.64,10.5,8.78,7.13,16.16,11.84,13.35,7.23
e_1,2.37,6.24,1.97,2.88,2.06,2.26,8.13,7.27,9.49,18.71,10.76,10.68,15.66,11.45,16.41,7.5
d_1,2.51,2.06,6.27,1.67,2.05,2.53,8.57,9.57,18.46,7.73,12.59,10.75,16.71,11.12,16.77,10.98
c_1,2.17,1.86,2.14,7.05,4.07,2.07,7.42,6.97,5.37,9.36,7.03,11.36,14.09,8.47,15.75,11.49
b_1,2.03,2.23,2.26,2.17,7.48,4.42,8.67,7.66,10.19,10.3,6.97,9.99,17.7,8.3,14.56,10.84
a_1,2.56,2.13,2.48,2.43,2.1,10.65,8.29,8.36,9.65,11.5,12.89,11.21,17.08,7.65,16.63,13.83
h_1,3.09,1.97,2.99,2.38,2.01,2.3,18.04,11.83,11.28,10.93,13.62,11.37,13.47,12.39,24.85,14.33
g_1,2.02,2.15,3.75,2.44,2.27,2.23,8.48,20.65,12.33,8.99,12.93,18.35,16.43,12.72,14.53,13.26
c_0,2.59,2.34,2.72,1.94,2.03,2.87,9.88,10.34,18.82,11.83,23.24,15.35,19.87,16.33,22.7,13.88
d_0,2.3,2.36,1.81,4.64,2.54,2.33,8.14,9.82,7.1,18.61,11.05,11.78,14.49,10.52,16.45,14.57
b_0,2.69,2.23,2.73,2.53,1.99,2.15,10.07,10.84,11.96,11.86,21.05,13.83,19.8,27.39,22.5,14.61
f_0,2.03,1.86,2.61,2.78,2.6,3.05,11.43,10.15,11.9,12.07,13.75,22.21,18.85,14.01,20.69,29.33
h_0,3.11,2.4,2.7,2.29,2.36,2.55,7.3,12.8,11.14,11.13,11.27,12.71,12.04,14.68,24.14,9.83
a_0,2.54,2.27,3.13,2.36,2.44,1.57,10.68,10.19,11.61,10.83,12.98,12.69,20.65,28.07,21.71,14.19
g_0,2.34,1.93,3.65,2.36,2.27,2.68,10.22,8.52,11.45,9.98,12.38,17.86,17.9,13.45,13.1,16.8
e_0,2.67,1.46,2.72,2.93,2.4,2.65,10.12,10.41,12.54,9.79,11.96,13.17,18.99,14.74,19.15,29.92
