,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.22,1.24,1.42,2.03,2.71,15.56,29.61,34.1,28.53,44.52,,62.51,56.29,133.75,96.32
e_1,0.82,1.0,1.19,0.94,1.72,2.86,19.73,25.01,44.2,29.86,41.87,60.28,82.4,75.27,103.56,
d_1,0.81,0.84,1.0,1.14,1.5,2.34,18.32,16.07,,40.09,40.93,57.72,60.27,89.64,77.03,134.24
c_1,0.71,1.06,0.88,1.0,1.9,2.8,12.84,22.76,15.81,,31.84,37.37,85.14,60.85,106.79,80.55
b_1,0.49,0.58,0.67,0.53,1.0,2.8,13.22,15.12,18.39,15.81,,31.72,48.99,45.76,75.46,61.31
a_1,0.37,0.35,0.43,0.36,0.36,1.0,8.79,12.71,9.28,12.19,12.38,15.7,,30.8,34.48,
h_1,0.06,0.05,0.05,0.08,0.08,0.11,1.0,1.54,1.67,1.6,1.98,2.85,3.01,,7.44,5.92
g_1,0.03,0.04,0.06,0.04,0.07,0.08,0.65,1.0,0.83,1.05,1.36,2.18,1.97,2.22,,
d_0,0.03,0.02,,0.06,0.05,0.11,0.6,1.21,1.0,1.09,1.19,1.92,2.33,3.0,3.5,3.69
c_0,0.04,0.03,0.02,,0.06,0.08,0.63,0.95,0.92,1.0,2.18,1.58,2.5,2.7,3.65,
b_0,0.02,0.02,0.02,0.03,,0.08,0.51,0.74,0.84,0.46,1.0,1.29,2.34,2.0,3.67,2.78
f_0,,0.02,0.02,0.03,0.03,0.06,0.35,0.46,0.52,0.63,0.78,1.0,1.08,1.26,1.8,
a_0,0.02,0.01,0.02,0.01,0.02,,0.33,0.51,0.43,0.4,0.43,0.92,1.0,1.08,2.05,
h_0,0.02,0.01,0.01,0.02,0.02,0.03,,0.45,0.33,0.37,0.5,0.79,0.92,,2.25,1.85
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.13,,0.29,0.27,0.27,0.56,0.49,0.44,,1.05
e_0,0.01,,0.01,0.01,0.02,,0.17,,0.27,,0.36,,,0.54,0.95,1.0
