,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,106.28,17.86,16.68,19.54,30.84,57.9,1711.45,3732.95,4795.81,4488.97,8234.79,,13161.78,18723.02,47855.27,27399.48
e_1,11.93,107.12,14.53,12.3,27.11,60.93,1989.34,3023.67,7945.22,4787.52,7453.8,12680.35,18716.26,19795.31,36733.09,
d_1,10.81,10.2,122.07,16.91,25.08,55.32,1996.44,2487.49,,7407.18,7678.17,11939.57,13671.13,27752.96,31771.03,45181.75
c_1,9.71,13.87,12.99,141.52,41.5,62.32,1483.82,3409.68,2994.78,,6216.11,8618.64,20113.94,21178.67,44491.09,26531.46
b_1,7.5,9.18,11.21,11.55,210.75,89.85,1780.35,2395.08,3497.94,2856.65,,9702.17,14124.82,19086.87,36708.13,24084.37
a_1,7.9,7.46,10.12,7.97,11.49,419.7,1639.2,2710.9,2391.33,3018.88,3707.21,5538.97,,13584.46,21408.93,
h_1,7.07,5.11,5.95,9.0,10.19,21.2,3257.12,1782.03,2455.68,2128.95,3065.78,5117.99,5492.41,,26334.82,14227.78
g_1,4.26,4.83,9.64,6.58,10.47,16.79,753.81,5232.88,1109.79,1751.85,2216.68,4826.46,4324.61,7275.2,,
d_0,4.12,4.07,,11.98,10.34,27.79,883.65,1625.84,4687.63,2174.53,2614.29,5228.46,6945.5,10026.61,16559.71,14420.14
c_0,5.52,5.37,4.61,,11.42,20.31,836.71,1579.77,1833.64,4920.7,5364.38,3865.58,7235.88,9139.13,15897.87,
b_0,4.15,4.25,4.58,6.13,,24.21,782.69,1199.5,1860.46,1129.57,6948.4,3367.36,9148.54,8308.86,18669.38,13110.9
f_0,,3.49,3.58,6.17,9.64,22.46,630.56,1015.78,1423.99,1545.8,2039.28,9618.49,3959.76,6488.22,12213.53,
a_0,3.37,2.76,3.76,2.77,5.89,,605.25,1118.5,1283.98,1156.71,1664.32,3380.69,14583.2,6690.6,13628.25,
h_0,5.91,3.49,3.45,5.72,9.12,14.32,,1478.23,1113.09,1251.61,2080.05,4063.15,5696.27,,20311.29,13486.43
g_0,2.68,3.43,5.35,3.9,6.45,18.0,476.33,,1353.33,1192.87,1389.15,3789.32,3244.73,4014.9,,9488.61
e_0,2.95,,2.51,4.09,6.41,,406.13,,1060.3,,1693.96,,,3939.13,8652.07,27620.03
