,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,93.49,75.46,62.38,89.91,141.07,314.0,7211.53,17043.86,17417.05,18157.63,45705.05,40587.75,108630.77,91857.39,98996.74,236158.69
e_1,47.28,101.48,60.94,94.05,113.05,373.33,8044.37,27237.17,16378.34,21243.1,39826.23,73929.2,127301.77,117685.86,130115.01,256140.3
d_1,49.78,47.48,127.17,54.31,111.33,331.89,6913.93,11028.47,13885.97,31642.32,44078.45,59688.08,128266.01,131040.21,136229.26,195203.77
c_1,39.65,39.86,61.7,146.99,181.24,265.31,6693.71,13127.87,13050.33,9885.98,32530.96,55070.98,113710.34,98838.92,98310.68,183369.62
b_1,29.96,40.81,56.38,52.48,218.75,489.29,5837.81,11541.54,11401.55,13731.72,20726.71,42309.36,72711.06,63058.8,64702.52,173808.01
a_1,27.16,25.53,39.45,46.54,53.26,504.91,4012.47,8320.23,9128.04,11382.6,25614.14,44572.21,69660.08,79017.55,60766.27,154014.67
h_1,15.65,11.49,19.06,21.12,30.83,81.95,3057.24,4377.83,6078.58,5287.58,11103.28,15607.41,27168.14,35274.46,31409.31,75761.44
d_0,10.38,8.91,9.24,27.95,28.58,65.63,1578.73,4715.49,3121.46,3577.27,7727.23,14918.61,25953.32,27788.5,22791.99,56669.46
g_1,8.61,9.17,19.42,16.51,27.35,63.98,1212.93,3174.64,5671.42,3564.89,9883.44,19785.92,22415.68,24718.33,27377.78,40291.39
c_0,10.01,8.54,12.3,14.42,23.72,69.72,1662.91,3156.46,4336.98,5742.67,14399.28,14163.79,25586.36,25257.47,30204.74,52996.32
b_0,7.39,8.5,11.57,13.65,14.03,39.37,1317.87,2758.09,2791.42,2631.74,9578.24,11173.56,17290.27,22004.24,35832.38,36131.35
f_0,5.14,5.72,11.3,11.5,20.85,42.7,966.77,2042.81,2215.3,2825.64,6216.02,13366.94,18586.25,29258.34,17568.53,31042.18
h_0,6.69,5.32,7.52,9.2,15.66,44.97,688.63,1890.24,2267.69,2335.57,5270.49,7393.36,12018.27,15272.06,14332.46,33888.17
e_0,5.6,3.6,8.12,8.89,18.6,37.62,922.44,1983.41,2082.78,2339.2,4928.47,6391.09,13883.72,22772.01,11926.29,36929.2
a_0,5.74,5.34,7.88,9.62,16.01,20.25,917.05,1834.74,1770.09,2367.81,4168.79,7197.21,13500.07,13738.53,21755.93,25216.21
g_0,3.68,3.75,9.28,7.84,12.29,29.37,690.22,1292.05,1520.23,1799.14,4123.04,9152.06,10436.51,11149.54,12641.5,20223.08
