,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.65,0.79,1.02,1.13,1.03,1.02,0.49,0.53,0.51,0.42,0.43,0.51,0.4,0.35,0.35,0.52
f_1,1.11,0.65,1.02,1.04,1.02,0.93,0.41,0.58,0.42,0.36,0.38,0.46,0.36,0.24,0.34,0.29
d_1,1.3,1.1,0.64,1.07,1.04,1.02,0.5,0.35,0.46,0.42,0.4,0.36,0.33,0.31,0.23,0.33
c_1,1.01,1.13,1.26,0.64,1.25,0.83,0.48,0.46,0.28,0.47,0.38,0.36,0.4,0.33,0.34,0.34
b_1,1.25,1.31,1.22,0.78,0.61,1.36,0.52,0.53,0.44,0.55,0.59,0.46,0.45,0.36,0.33,0.37
a_1,1.61,1.44,1.33,1.66,0.8,0.56,0.83,0.61,0.57,0.5,0.57,0.51,0.65,0.45,0.46,0.47
h_1,1.69,1.75,1.67,1.74,1.86,1.24,0.55,0.77,0.64,0.68,0.65,0.55,0.57,0.59,0.5,0.53
g_1,1.78,1.91,1.9,1.83,1.78,1.45,0.68,0.54,0.66,0.68,0.64,0.65,0.61,0.47,0.51,0.64
d_0,1.23,1.89,2.6,2.24,2.03,1.63,0.97,1.03,0.58,0.66,0.73,0.74,0.73,0.62,0.57,0.67
c_0,1.81,2.33,1.29,2.68,1.81,1.78,0.87,0.87,1.02,0.57,0.86,0.71,0.72,0.65,0.48,0.66
b_0,1.83,1.92,1.71,2.42,2.44,1.67,0.89,0.92,0.77,0.46,0.55,0.74,0.79,0.59,0.57,0.69
f_0,1.71,2.75,2.1,2.03,1.98,1.78,0.99,0.63,0.71,0.66,0.73,0.55,0.69,0.67,0.39,0.82
a_0,2.18,2.26,2.3,2.21,2.38,2.21,1.0,1.09,0.89,0.69,0.55,0.76,0.55,0.61,0.62,0.73
h_0,2.1,2.53,2.12,2.17,2.08,1.65,1.11,1.08,0.86,0.76,0.76,0.69,0.8,0.79,0.65,0.72
g_0,2.34,2.28,2.82,2.29,2.48,2.09,0.95,1.28,0.89,0.94,0.86,1.0,0.77,0.63,0.76,0.73
e_0,2.35,3.48,2.55,2.43,2.25,1.96,1.06,0.92,0.82,0.94,0.86,0.52,0.81,0.7,0.65,0.54
