,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.52,0.82,0.54,0.46,0.3,0.3,0.3,0.3,0.36,0.31,0.25,0.29,0.25,0.19,0.26
d_1,0.65,0.96,0.53,0.47,0.46,0.36,0.36,0.31,0.52,0.27,0.37,0.32,0.29,0.29,0.27,0.22
e_1,0.54,0.53,0.95,0.65,0.49,0.36,0.36,0.35,0.35,0.56,0.32,0.35,0.36,0.25,0.23,0.29
c_1,0.59,0.55,0.49,0.95,0.81,0.35,0.34,0.3,0.24,0.3,0.26,0.3,0.34,0.25,0.24,0.28
b_1,0.58,0.64,0.55,0.44,0.95,0.67,0.36,0.31,0.34,0.35,0.26,0.34,0.34,0.23,0.27,0.33
a_1,0.76,0.67,0.61,0.66,0.49,0.94,0.47,0.4,0.45,0.37,0.41,0.39,0.43,0.23,0.31,0.34
h_1,1.12,0.89,0.8,0.89,0.61,0.5,0.78,0.61,0.53,0.47,0.52,0.44,0.47,0.42,0.38,0.53
g_1,0.85,1.23,0.7,0.83,0.77,0.54,0.49,0.78,0.55,0.46,0.51,0.67,0.43,0.39,0.44,0.41
c_0,1.06,0.94,0.86,0.9,0.62,0.49,0.55,0.57,0.73,0.6,0.8,0.54,0.56,0.51,0.39,0.44
d_0,0.85,0.79,0.7,1.37,0.79,0.53,0.6,0.54,0.43,0.7,0.57,0.51,0.49,0.43,0.39,0.43
b_0,0.98,1.02,0.9,1.09,0.58,0.47,0.57,0.54,0.54,0.55,0.72,0.54,0.57,0.73,0.39,0.43
f_0,0.88,1.05,0.75,1.02,0.77,0.58,0.58,0.46,0.61,0.64,0.59,0.71,0.57,0.47,0.78,0.43
h_0,1.32,1.15,0.96,0.82,0.79,0.58,0.46,0.75,0.62,0.57,0.55,0.53,0.51,0.41,0.43,0.58
a_0,1.02,1.01,1.02,1.09,0.84,0.54,0.54,0.59,0.58,0.62,0.5,0.57,0.61,0.68,0.5,0.47
e_0,1.21,0.99,0.89,0.95,0.9,0.68,0.67,0.6,0.72,0.62,0.68,0.46,0.62,0.54,0.67,0.48
g_0,1.01,1.56,0.96,0.98,0.75,0.65,0.55,0.53,0.64,0.55,0.63,0.79,0.59,0.47,0.53,0.46
