,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.11,0.6,0.73,0.96,0.74,0.74,1.02,0.83,1.74,0.95,1.08,0.99,0.95,0.99,0.78,0.9
d_1,0.73,2.23,0.83,0.62,0.69,0.76,1.03,0.95,0.56,1.61,1.16,1.06,0.85,1.14,1.03,1.05
f_1,1.27,0.67,2.12,0.74,0.68,0.65,0.74,0.81,0.9,0.93,0.97,0.7,1.08,0.95,0.79,1.05
c_1,0.71,0.8,0.8,2.28,1.34,0.54,0.81,0.88,0.85,0.51,0.6,0.71,1.01,0.96,0.89,0.9
b_1,0.71,0.76,0.74,0.73,2.4,1.42,1.1,0.93,0.91,0.84,0.49,0.85,0.89,0.65,0.82,0.92
a_1,0.72,0.91,0.78,0.77,0.72,3.34,0.96,1.11,0.88,1.0,1.11,1.12,1.04,0.64,0.99,1.01
h_1,0.75,0.86,1.15,0.84,0.68,0.81,2.1,1.4,0.95,1.03,1.15,1.05,0.89,1.01,1.0,1.38
g_1,0.7,1.33,0.78,0.79,0.73,0.68,0.96,2.23,0.8,1.12,1.05,1.61,1.06,1.0,1.16,0.75
d_0,0.74,0.65,0.86,1.56,0.8,0.64,1.06,1.07,1.6,0.77,1.06,1.04,1.12,0.98,1.14,1.01
c_0,0.78,0.96,0.89,0.62,0.64,0.84,1.12,1.09,0.94,1.64,2.14,1.38,1.18,1.29,1.29,1.09
b_0,0.68,0.95,0.87,0.88,0.64,0.76,1.03,1.21,0.99,0.98,1.87,1.35,1.11,2.16,1.28,1.09
f_0,0.65,0.98,0.76,0.96,0.71,0.75,1.21,1.22,1.11,1.0,1.06,2.0,1.29,1.11,2.56,1.09
h_0,0.74,1.01,1.22,0.86,0.76,0.6,0.73,1.26,1.04,0.93,1.13,1.0,0.82,1.14,1.18,1.41
a_0,0.83,0.87,0.89,0.88,0.84,0.52,1.22,1.26,0.95,1.0,1.21,1.39,1.21,2.22,1.26,1.11
e_0,0.59,1.09,1.01,0.89,0.71,0.6,1.16,1.01,1.06,1.11,1.21,1.12,1.41,1.2,2.51,1.25
g_0,0.7,1.25,0.82,0.85,0.74,0.81,1.01,0.88,0.96,1.01,1.13,1.64,1.21,1.23,1.43,0.88
