,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.43,1.68,1.45,2.08,1.64,1.49,0.35,0.49,0.34,0.38,0.29,0.61,0.31,0.17,0.33,0.3
e_1,1.01,0.42,1.82,1.7,2.19,1.83,0.56,0.66,0.4,0.38,0.37,0.45,0.47,0.29,1.03,0.29
d_1,1.82,2.31,0.42,1.81,1.51,1.62,0.41,0.32,0.32,0.86,0.33,0.31,0.28,0.21,0.32,0.14
c_1,1.79,1.5,2.1,0.41,1.69,1.69,0.55,0.47,0.77,0.21,0.39,0.33,0.35,0.28,0.3,0.27
b_1,2.29,1.76,2.03,0.95,0.4,2.13,0.6,0.69,0.57,0.43,0.86,0.37,0.39,0.34,0.53,0.31
a_1,2.12,2.47,2.1,2.59,1.39,0.33,0.91,0.8,0.44,0.52,0.68,0.47,1.12,0.34,0.51,0.33
h_1,3.08,2.67,2.43,3.55,3.32,2.52,0.32,0.95,0.52,0.53,0.65,0.55,0.5,0.62,0.5,0.39
g_1,3.69,3.53,2.85,4.12,3.37,2.84,0.65,0.29,0.62,0.66,0.63,0.5,0.59,0.29,0.6,0.66
c_0,3.74,3.6,1.69,7.14,3.14,2.37,0.83,1.19,0.34,0.98,0.68,0.58,0.63,0.5,0.76,0.47
d_0,3.35,1.68,6.12,3.53,3.16,3.06,0.93,1.17,0.71,0.37,0.73,0.7,0.66,0.52,0.62,0.66
b_0,3.4,2.95,2.7,5.22,5.79,3.45,0.94,0.9,0.37,0.71,0.34,0.64,0.69,0.44,0.7,0.41
f_0,6.15,3.47,3.05,4.73,3.45,3.26,1.11,0.62,0.69,0.85,0.63,0.34,0.69,0.58,0.72,0.39
a_0,4.39,3.74,3.37,4.05,5.09,6.11,1.22,1.15,0.65,0.84,0.4,0.73,0.33,0.68,0.76,0.55
h_0,4.54,4.0,3.6,4.41,3.49,3.49,1.72,1.16,0.79,0.95,0.72,0.73,0.66,0.96,0.74,0.64
e_0,6.97,6.29,3.63,5.09,3.75,3.33,1.19,0.94,0.87,1.1,0.9,0.39,0.73,0.51,0.29,0.49
g_0,4.62,4.46,4.44,4.5,4.07,3.42,0.87,1.9,0.95,0.93,0.85,0.92,1.0,0.51,0.73,0.93
