,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,91.53,98.77,103.41,113.03,121.65,344.74,9823.9,23881.48,23059.42,25152.85,35414.51,43057.32,98750.08,115724.76,143014.31,200334.65
e_1,54.45,107.5,91.61,114.73,121.11,419.44,11773.32,36443.7,21553.96,22514.54,42816.13,63106.23,113344.72,114708.82,177373.24,227845.38
d_1,49.54,59.76,154.81,74.95,102.85,331.01,9007.91,16744.77,34613.18,18690.91,32767.26,53666.93,91683.87,114291.54,157689.58,182784.23
c_1,43.48,50.15,90.0,155.13,163.96,380.37,8431.87,15327.06,13203.81,15628.72,22605.61,48947.76,82082.84,95992.68,160643.9,183305.91
b_1,40.76,52.21,79.79,76.24,178.49,594.18,9421.64,17940.73,19012.78,18661.17,26616.8,50079.55,87480.17,70076.61,148437.9,201329.48
a_1,32.16,34.2,64.97,56.95,50.73,496.52,6456.34,12112.14,13303.37,14981.1,18811.13,30921.89,53181.66,58519.17,108846.06,110662.91
h_1,16.08,13.33,26.93,26.73,23.85,82.09,3585.98,4955.85,5211.35,6819.14,8561.69,12472.14,19090.37,29598.45,44008.22,60660.84
d_0,10.33,9.38,15.42,33.69,24.26,77.13,2225.74,5412.81,3670.36,4695.54,6233.83,11661.7,21147.33,22846.14,36139.85,40438.87
c_0,11.41,13.5,17.27,20.61,18.02,74.45,2130.61,4123.52,5870.59,4835.07,11504.37,9920.16,20040.01,28367.99,35224.32,42458.29
g_1,9.18,11.28,27.0,21.03,21.03,66.46,1702.6,3834.21,4164.08,6618.11,7230.12,14847.69,18090.09,19219.09,32271.7,34402.78
b_0,10.06,9.79,18.12,20.7,14.2,70.8,1759.83,4065.94,3304.22,3464.62,8049.34,8153.12,18418.42,32142.9,27135.07,32682.41
f_0,6.92,6.57,16.54,16.14,17.69,62.57,1814.58,2944.12,3901.0,3012.25,6249.12,11835.69,15267.33,19774.22,49390.98,31762.93
h_0,8.23,7.93,13.03,13.11,13.76,56.77,1113.29,2567.07,2761.55,3645.86,4780.33,7176.57,10997.65,12190.76,20740.95,32995.51
a_0,6.64,7.24,11.86,12.9,15.04,34.15,1343.95,2374.38,2647.2,2947.35,3930.37,6201.58,13287.27,19520.72,18769.66,24486.41
e_0,5.72,4.9,10.64,11.15,11.83,45.54,1150.25,1883.57,2408.38,2354.67,4099.92,4138.19,11946.18,12586.51,26476.51,23022.51
g_0,5.26,5.12,14.11,10.13,9.54,42.0,1044.5,1866.15,2453.18,2102.12,4119.53,7476.06,9332.68,12002.36,20415.78,20539.58
