,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.25,0.03,0.03,0.03,0.02,0.03,0.06,,0.04,0.12,0.07,0.04,0.08,0.06,0.04,0.06
e_1,0.03,2.27,0.02,0.03,0.02,0.02,0.05,0.12,0.05,0.06,0.05,0.06,0.07,0.05,,0.06
f_1,0.03,0.05,2.3,0.03,0.02,0.03,0.06,0.06,0.06,0.07,,0.06,0.06,0.04,0.03,0.06
c_1,0.03,0.03,0.03,2.35,0.04,0.02,0.04,0.06,0.05,,0.06,0.04,0.12,0.04,,0.09
b_1,0.03,0.02,0.03,0.03,2.58,0.04,0.06,0.06,0.04,0.05,0.05,,0.07,0.04,0.06,0.08
a_1,0.03,0.03,0.02,0.02,0.03,2.96,0.05,0.08,0.05,0.07,0.07,0.05,0.08,,,0.07
h_1,0.13,0.08,0.18,0.11,0.1,0.06,2.75,0.2,0.27,0.24,0.17,0.17,,0.21,0.21,0.32
d_0,,0.18,0.14,0.29,0.19,0.16,0.2,1.91,0.18,0.28,0.26,0.24,0.38,0.23,0.27,0.32
g_1,0.14,0.08,0.08,0.09,0.09,0.07,0.13,0.23,3.03,0.28,0.39,0.29,0.3,,0.19,
c_0,0.14,0.13,0.16,,0.09,0.08,0.34,0.33,0.18,2.07,0.26,0.57,0.41,0.18,0.22,0.5
f_0,0.14,0.1,,0.19,0.18,0.09,0.28,0.3,0.32,0.23,2.1,0.31,0.38,0.25,0.46,0.39
b_0,0.13,0.13,0.14,0.13,,0.08,0.28,0.37,0.27,0.24,0.28,2.22,0.47,0.54,0.21,0.3
h_0,0.32,0.19,0.34,0.19,0.18,0.12,,0.54,0.38,0.34,0.41,0.49,,0.32,0.36,0.63
a_0,0.11,0.2,0.15,0.1,0.08,,0.35,0.33,,0.34,0.38,0.2,0.35,2.55,,0.32
e_0,0.18,,0.17,,0.12,,0.24,0.45,0.27,0.32,0.27,0.24,0.54,,2.58,0.37
g_0,0.34,0.16,0.19,0.15,0.16,0.16,0.4,0.37,,0.57,0.68,0.46,0.65,0.39,0.33,
