,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,0.89,0.37,0.16,0.16,0.13,0.09,0.16,0.17,0.15,0.11,0.12,0.06,0.13,0.06,0.08,0.12
e_1,0.21,0.89,0.23,0.16,0.1,0.1,0.16,0.34,0.14,0.11,0.18,0.14,0.18,0.05,0.11,0.12
c_1,0.22,0.15,0.89,0.14,0.31,0.1,0.15,0.17,0.06,0.11,0.09,0.14,0.16,0.11,0.08,0.1
d_1,0.26,0.21,0.13,0.89,0.14,0.08,0.15,0.07,0.29,0.12,0.15,0.14,0.2,0.1,0.1,0.14
b_1,0.2,0.16,0.18,0.17,0.88,0.25,0.14,0.16,0.14,0.1,0.04,0.13,0.16,0.1,0.06,0.11
a_1,0.2,0.16,0.16,0.18,0.17,0.88,0.19,0.19,0.18,0.18,0.16,0.15,0.14,0.1,0.03,0.12
h_1,0.34,0.23,0.17,0.25,0.18,0.11,0.55,0.19,0.18,0.2,0.16,0.16,0.1,0.13,0.12,0.2
d_0,0.23,0.24,0.4,0.1,0.22,0.11,0.18,0.44,0.18,0.15,0.18,0.18,0.21,0.15,0.1,0.16
c_0,0.26,0.24,0.13,0.25,0.16,0.13,0.24,0.21,0.42,0.16,0.36,0.19,0.23,0.11,0.14,0.18
g_1,0.21,0.2,0.24,0.32,0.17,0.13,0.16,0.19,0.18,0.54,0.15,0.25,0.19,0.13,0.11,0.05
b_0,0.3,0.26,0.24,0.19,0.08,0.07,0.23,0.21,0.23,0.18,0.45,0.16,0.24,0.13,0.29,0.16
f_0,0.16,0.2,0.26,0.26,0.18,0.14,0.21,0.22,0.17,0.17,0.19,0.42,0.21,0.29,0.14,0.16
h_0,0.37,0.22,0.23,0.22,0.15,0.13,0.11,0.25,0.23,0.2,0.2,0.15,0.13,0.1,0.11,0.2
e_0,0.26,0.11,0.24,0.29,0.22,0.11,0.23,0.24,0.21,0.15,0.15,0.19,0.19,0.36,0.15,0.2
a_0,0.31,0.24,0.21,0.27,0.2,,0.18,0.28,0.23,0.12,0.19,0.16,0.25,0.15,0.38,0.17
g_0,0.21,0.21,0.21,0.38,0.17,0.13,0.18,0.18,0.23,0.12,0.2,0.26,0.16,0.12,0.13,0.09
