,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.94,0.23,0.28,0.33,0.24,0.2,0.21,0.17,0.18,0.29,0.2,0.17,0.16,0.11,0.06,0.11
d_1,0.33,0.94,0.27,0.24,0.26,0.2,0.2,0.14,0.31,0.09,0.17,0.15,0.17,0.12,0.14,0.12
f_1,0.45,0.32,0.94,0.23,0.24,0.17,0.2,0.18,0.17,0.19,0.05,0.15,0.13,0.14,0.09,0.15
c_1,0.23,0.29,0.32,0.94,0.46,0.18,0.19,0.17,0.07,0.16,0.17,0.1,0.18,0.13,0.13,0.16
b_1,0.32,0.25,0.3,0.23,0.94,0.37,0.23,0.17,0.16,0.18,0.17,0.06,0.2,0.13,0.15,0.15
a_1,0.32,0.33,0.33,0.38,0.25,0.93,0.2,0.23,0.19,0.21,0.17,0.24,0.17,0.06,0.16,0.18
h_1,0.48,0.6,0.67,0.56,0.43,0.3,0.72,0.36,0.31,0.28,0.29,0.34,0.15,0.21,0.21,0.33
g_1,0.54,0.91,0.51,0.36,0.49,0.34,0.38,0.72,0.35,0.32,0.42,0.33,0.21,0.21,0.24,0.19
c_0,0.57,0.55,0.68,0.43,0.52,0.42,0.47,0.38,0.63,0.35,0.32,0.53,0.27,0.33,0.28,0.33
d_0,0.56,0.26,0.6,0.96,0.55,0.29,0.46,0.28,0.25,0.61,0.32,0.33,0.31,0.23,0.23,0.27
f_0,0.52,0.71,0.47,0.55,0.59,0.39,0.47,0.35,0.43,0.36,0.63,0.38,0.39,0.26,0.53,0.32
b_0,0.55,0.85,0.72,0.73,0.27,0.28,0.42,0.34,0.33,0.32,0.34,0.62,0.43,0.5,0.24,0.26
h_0,0.57,0.64,0.88,0.62,0.5,0.45,0.32,0.6,0.44,0.44,0.34,0.31,0.24,0.32,0.25,0.44
a_0,0.72,0.77,0.75,0.64,0.52,,0.52,0.4,0.37,0.41,0.4,0.29,0.46,0.6,0.33,0.4
e_0,0.4,0.81,0.91,0.63,0.48,0.52,0.53,0.41,0.39,0.42,0.28,0.4,0.44,0.26,0.61,0.33
g_0,0.65,1.03,0.57,0.7,0.54,0.42,0.43,0.23,0.37,0.35,0.44,0.43,0.33,0.29,0.33,0.22
