,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,5.78,2.61,1.35,1.45,1.32,1.36,5.42,5.08,6.29,6.45,3.15,7.82,9.78,7.86,5.93,9.55
e_1,1.61,5.86,1.31,1.7,1.82,1.24,4.89,5.74,13.13,7.6,8.32,7.76,11.79,7.57,4.33,11.9
d_1,1.66,1.4,6.08,1.31,1.28,1.4,5.36,5.82,3.54,14.19,8.25,8.24,12.64,8.43,9.06,11.88
c_1,1.47,1.43,1.5,6.91,2.82,1.17,5.11,5.34,6.33,1.95,7.66,4.92,9.24,6.99,8.18,9.94
b_1,1.53,1.48,1.48,1.53,7.88,3.19,6.49,5.16,8.24,5.45,6.37,3.0,10.75,4.77,7.27,9.79
a_1,1.77,1.41,1.65,1.34,1.51,11.35,6.43,5.82,5.15,7.38,7.3,7.24,12.29,2.64,7.32,11.11
h_1,2.56,1.54,2.01,1.97,1.72,2.08,16.69,8.59,8.4,6.31,7.41,8.12,7.53,8.5,9.14,17.29
g_1,1.82,1.64,2.67,1.97,1.64,1.84,6.82,18.22,7.2,8.4,12.28,8.08,10.87,9.78,9.06,8.4
d_0,1.75,1.79,0.91,3.79,2.09,2.24,6.54,7.49,16.57,5.4,10.16,7.41,12.04,10.02,7.82,12.62
c_0,2.15,1.89,2.24,1.31,1.42,1.65,7.47,6.71,7.78,17.54,8.69,19.82,14.34,12.49,10.55,15.59
f_0,1.17,1.45,2.27,2.16,2.15,2.04,7.51,6.92,8.76,10.56,19.53,7.7,13.78,7.86,20.36,17.46
b_0,2.1,1.5,2.28,2.26,1.07,1.34,6.88,7.11,9.88,8.94,9.92,20.56,16.27,20.65,9.48,16.28
h_0,2.79,1.84,2.07,1.73,1.45,1.76,4.38,9.9,7.85,8.37,7.95,10.18,8.72,9.9,7.71,19.31
a_0,1.89,1.59,2.65,2.0,2.06,0.86,7.1,6.86,7.72,8.03,9.39,8.33,15.23,24.49,10.81,18.66
e_0,2.11,1.0,1.95,1.99,2.14,2.17,8.91,6.01,11.17,8.94,10.18,10.86,17.13,10.65,25.13,11.97
g_0,1.57,1.57,3.02,1.94,1.91,1.74,5.96,5.19,6.68,11.0,14.86,9.65,12.27,10.58,11.55,9.31
