,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.0,1.18,0.95,1.02,0.98,0.88,0.86,1.02,1.01,0.88,0.92,0.93,0.93,0.84,0.97,0.85
e_1,0.84,1.0,0.96,1.14,1.01,0.99,1.16,1.05,1.33,1.02,1.09,1.11,1.12,1.0,1.05,1.08
d_1,1.09,1.02,1.0,0.95,0.9,0.93,1.02,0.84,0.94,1.32,1.13,1.07,0.98,0.95,0.89,1.06
c_1,0.97,0.89,1.08,1.0,1.36,1.04,0.92,0.94,0.75,0.87,0.79,0.89,0.95,1.03,0.97,0.91
b_1,1.01,1.01,1.1,0.76,1.0,1.32,1.06,1.09,0.95,1.05,0.96,0.99,0.92,1.04,1.03,1.01
a_1,1.11,0.99,1.04,0.94,0.76,1.0,1.14,1.08,1.04,1.04,1.1,1.07,1.06,1.33,1.08,1.06
h_1,1.17,0.91,0.95,1.06,0.93,0.86,1.0,1.17,1.03,0.95,1.02,0.96,0.92,1.06,1.08,1.07
g_1,0.95,0.96,1.14,1.06,0.97,0.95,0.84,1.0,0.9,0.94,0.92,1.14,0.87,0.87,1.08,0.94
d_0,0.96,0.78,1.0,1.35,1.1,0.96,0.96,1.15,1.0,0.76,0.94,0.95,1.06,1.08,1.05,1.04
c_0,1.12,1.03,0.78,1.2,0.95,0.92,1.03,1.06,1.27,1.0,1.41,1.07,1.12,1.08,1.03,1.04
b_0,1.09,0.93,0.89,1.22,1.05,0.83,0.99,1.08,1.07,0.73,1.0,0.91,1.35,1.13,1.1,0.96
f_0,1.09,0.97,0.94,1.09,0.99,0.95,1.04,0.88,1.07,0.89,1.06,1.0,0.99,1.02,0.88,1.49
a_0,1.07,0.91,0.97,1.06,1.09,0.98,1.1,1.11,0.97,0.87,0.79,1.01,1.0,1.02,1.08,0.91
h_0,1.16,1.02,1.03,1.01,0.96,0.76,0.92,1.15,0.93,0.91,0.87,0.95,0.94,1.0,1.13,0.93
g_0,1.05,0.95,1.1,1.02,0.95,0.95,0.92,0.92,0.96,0.94,0.91,1.12,0.94,0.87,1.0,0.99
e_0,1.21,1.0,0.96,1.1,0.94,0.94,0.92,1.06,0.87,0.94,1.09,0.64,1.06,1.06,1.0,1.0
