,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.17,6.36,12.44,15.0,12.89,15.28,4.21,2.32,2.57,4.57,3.05,2.61,2.73,1.97,,2.43
f_1,12.41,0.17,11.7,9.45,20.12,11.2,2.9,3.01,2.41,6.06,2.85,,2.33,1.09,,
c_1,12.44,9.6,0.16,16.99,13.44,15.71,4.65,1.36,,3.86,3.4,2.19,3.4,1.65,2.13,1.86
d_1,14.54,22.04,13.8,0.15,13.89,11.2,2.55,,2.6,1.79,2.62,2.85,2.65,2.01,,1.14
b_1,17.52,13.2,6.61,16.21,0.14,14.7,2.93,2.46,2.68,3.7,,3.76,3.18,1.65,,1.71
a_1,13.82,14.0,19.08,15.16,6.72,0.09,2.51,2.93,2.04,4.91,2.26,4.07,,2.19,,2.18
h_1,3.95,3.93,2.98,2.8,2.38,2.83,0.07,0.71,1.09,0.84,0.67,0.59,0.61,,0.8,0.49
d_0,1.44,2.15,3.04,,1.84,3.66,1.06,0.09,0.59,0.68,0.5,0.5,0.42,0.46,0.41,0.36
c_0,2.85,2.91,,1.38,2.52,2.4,0.86,0.52,0.09,0.66,0.54,0.5,0.5,0.36,0.54,0.31
g_1,4.19,4.85,2.8,2.88,4.29,4.5,0.62,0.85,0.62,0.06,0.61,0.78,0.56,0.54,0.68,
b_0,2.77,2.75,2.81,2.91,,2.64,0.94,0.47,0.32,0.59,0.07,0.59,0.57,0.33,0.56,0.32
f_0,2.53,,4.04,2.65,2.6,2.64,0.56,0.62,0.48,0.54,0.62,0.07,0.48,0.31,0.46,0.26
a_0,2.51,2.24,3.4,3.09,2.82,,0.73,0.53,0.46,1.06,0.32,0.44,0.05,0.35,,
h_0,1.7,1.31,1.94,1.51,1.9,1.49,,0.28,0.39,0.49,0.4,0.41,0.42,,0.27,0.18
e_0,,,1.74,,,,0.92,0.57,0.48,0.79,0.38,0.22,,0.3,0.04,0.42
g_0,1.95,,1.6,1.88,2.19,2.18,0.3,0.36,0.28,,0.28,0.38,,0.15,0.38,
