,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.27,1.08,1.01,0.86,0.95,0.94,1.02,0.93,0.87,0.9,0.8,0.8,0.85,0.75,1.04
e_1,0.78,1.0,0.89,1.15,1.05,1.02,1.03,0.93,0.99,1.45,0.95,1.11,1.1,1.17,1.17,1.19
d_1,0.93,1.13,1.0,0.92,0.99,1.13,1.14,0.84,1.28,1.04,0.99,1.02,0.94,0.89,0.81,0.83
c_1,0.99,0.87,1.09,1.0,1.25,1.04,0.98,1.08,0.79,0.71,0.99,1.14,1.09,0.83,1.22,0.85
b_1,1.16,0.96,1.01,0.8,1.0,1.2,0.94,1.04,1.09,0.92,1.01,1.09,0.96,0.95,1.25,1.05
a_1,1.06,0.98,0.89,0.96,0.83,1.0,1.22,1.13,1.12,1.26,1.33,0.82,0.98,1.41,0.87,1.18
h_1,1.1,0.95,0.89,1.08,1.09,0.84,1.0,1.43,0.91,0.87,0.95,0.88,1.48,1.17,0.97,1.13
g_1,0.95,1.09,1.2,0.9,0.95,0.91,0.68,1.0,1.05,0.85,0.96,1.27,0.91,1.12,0.85,1.0
c_0,1.18,0.95,0.76,1.38,0.89,0.88,1.11,0.94,1.0,1.23,1.38,1.29,1.12,1.0,1.09,1.3
d_0,1.14,0.69,0.91,1.52,1.03,0.79,1.14,1.22,0.79,1.0,1.04,0.79,1.3,0.95,0.88,1.03
b_0,1.19,1.02,0.98,1.01,1.06,0.73,1.02,1.0,0.76,0.97,1.0,0.97,1.04,1.29,1.13,0.93
f_0,1.18,0.88,0.99,0.87,0.97,1.2,1.15,0.75,0.8,1.16,1.05,1.0,1.18,1.2,1.65,0.86
h_0,1.25,0.88,1.0,0.95,0.98,0.97,,1.09,0.89,0.76,0.92,0.81,1.0,0.89,1.04,1.02
a_0,1.17,0.85,1.15,1.19,1.01,,0.81,0.85,1.08,0.94,0.76,0.95,1.14,1.0,0.71,0.95
e_0,1.31,0.88,1.32,0.83,0.84,1.0,0.98,1.21,0.96,1.07,0.94,0.63,1.07,1.6,1.0,0.79
g_0,1.02,0.8,1.26,1.15,0.94,0.85,0.88,1.1,0.79,0.94,1.04,1.2,0.96,1.0,1.41,
