,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.94,0.8,0.84,0.75,0.46,0.37,0.45,0.56,0.43,0.38,0.36,0.37,0.26,0.31
f_1,0.93,1.0,1.31,0.96,0.81,0.63,0.41,0.47,0.43,0.39,0.35,0.32,0.28,0.3,0.36,0.21
e_1,1.06,0.76,1.0,1.02,0.92,0.75,0.55,0.46,0.6,0.46,0.45,0.41,0.34,0.34,0.31,0.29
c_1,1.26,1.04,0.98,1.0,1.28,0.72,0.55,0.5,0.34,0.33,0.36,0.47,0.42,0.34,0.31,0.34
b_1,1.19,1.25,1.1,0.79,1.0,1.21,0.53,0.5,0.48,0.48,0.49,0.47,0.4,0.42,0.41,0.37
a_1,1.33,1.57,1.32,1.4,0.83,1.0,0.8,0.78,0.63,0.59,0.67,0.52,0.55,0.57,0.52,0.48
h_1,2.17,2.44,1.79,1.87,1.9,1.3,1.0,1.14,0.86,0.74,0.77,0.71,0.79,0.67,0.77,0.68
g_1,2.59,2.16,2.05,1.99,2.15,1.35,0.89,1.0,0.87,0.97,0.91,1.02,0.69,0.69,0.57,0.72
d_0,2.31,2.31,1.62,3.07,2.02,1.6,1.12,1.14,1.0,0.88,1.03,0.72,0.86,0.64,0.73,0.83
c_0,1.77,2.6,2.17,2.86,1.95,1.68,1.35,1.07,1.2,1.0,1.41,0.89,0.89,0.83,0.67,0.83
b_0,2.37,2.83,2.26,2.8,2.02,1.56,1.3,1.06,0.94,0.72,1.0,0.84,0.86,1.02,0.81,0.65
f_0,2.55,2.95,2.38,2.22,2.22,1.99,1.31,0.94,1.26,1.15,1.18,1.0,0.93,0.99,0.69,1.42
h_0,2.9,3.5,3.02,2.33,2.5,1.73,1.26,1.43,1.15,1.16,1.16,1.06,1.0,0.9,1.04,0.75
a_0,2.75,3.38,3.07,2.72,2.62,1.69,1.5,1.48,1.51,1.24,0.98,0.97,1.11,1.0,0.97,0.86
g_0,3.84,2.86,3.03,3.21,2.52,1.83,1.25,1.65,1.22,1.43,1.31,1.47,0.95,1.07,1.0,1.07
e_0,3.32,4.36,3.42,2.89,2.84,2.25,1.46,1.38,1.17,1.2,1.64,0.77,1.31,1.12,0.92,1.0
