,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.48,1.42,1.26,1.33,1.22,0.54,0.67,0.54,0.46,0.47,0.78,0.31,0.47,0.39,0.42
e_1,0.96,0.66,1.81,1.44,1.52,1.06,0.68,0.92,0.61,0.53,0.51,0.64,0.41,0.47,0.71,0.44
c_1,1.47,1.18,0.65,1.69,1.56,1.46,0.63,0.64,0.34,0.59,0.49,0.44,0.4,0.5,0.53,0.39
d_1,1.5,1.7,1.23,0.64,1.48,1.1,0.62,0.46,0.79,0.57,0.58,0.53,0.47,0.52,0.57,0.31
b_1,1.72,1.51,1.02,1.41,0.63,1.92,0.74,0.68,0.65,0.76,0.89,0.56,0.49,0.47,0.51,0.51
a_1,2.17,2.13,1.77,1.92,1.02,0.57,1.0,0.78,0.59,0.58,0.74,0.57,0.59,0.81,0.53,0.49
h_1,2.43,2.11,2.28,2.03,1.89,1.65,0.58,0.98,0.79,0.72,0.84,0.67,1.09,0.72,0.66,0.74
g_1,2.56,2.04,2.44,2.55,2.26,2.3,0.89,0.55,0.95,0.9,0.82,1.02,0.55,1.15,0.77,0.75
d_0,2.64,1.44,2.93,3.63,2.2,2.6,1.12,1.1,0.63,0.78,0.92,0.8,0.79,0.95,0.76,0.82
c_0,2.65,2.4,4.56,1.5,2.17,2.28,1.16,1.11,1.17,0.65,0.98,0.83,0.86,0.95,0.94,0.7
b_0,2.55,2.37,3.04,1.97,4.14,2.09,1.11,1.01,0.9,0.54,0.6,1.03,0.79,0.95,0.91,0.86
f_0,3.55,2.25,2.96,2.44,2.4,2.33,1.24,0.7,0.9,0.96,0.95,0.59,0.85,0.91,1.02,0.65
h_0,3.02,2.83,2.55,2.52,2.92,2.81,1.41,1.37,0.93,0.92,0.81,0.92,0.98,0.88,0.72,0.77
a_0,2.95,2.82,3.16,2.54,2.96,3.89,1.38,0.98,1.07,0.89,0.61,1.24,0.78,0.58,0.83,0.78
e_0,4.34,4.32,2.73,2.64,2.51,2.76,1.35,1.05,1.12,0.92,0.94,0.59,1.12,1.41,0.56,0.76
g_0,2.96,2.75,3.2,3.15,2.68,3.66,0.98,1.55,0.94,1.02,0.9,1.02,0.68,1.03,0.95,1.08
