,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.09,1.14,1.54,2.5,16.21,19.84,31.27,34.15,37.02,43.08,58.85,64.58,71.17,89.95
f_1,0.94,1.0,1.24,1.25,1.46,2.46,15.56,22.67,21.43,28.27,34.32,38.75,52.18,62.77,61.48,101.29
e_1,0.88,0.81,1.0,1.47,1.54,2.44,17.63,25.48,23.17,28.8,43.43,49.47,64.9,64.57,82.87,108.19
c_1,0.9,0.82,0.66,1.0,1.67,2.11,14.5,19.18,17.23,20.19,18.76,34.39,46.6,53.1,56.47,80.14
b_1,0.66,0.68,0.64,0.62,1.0,2.46,11.29,14.67,17.13,19.28,17.0,27.46,40.88,39.9,47.52,69.82
a_1,0.39,0.41,0.4,0.47,0.41,1.0,7.14,9.44,9.56,14.57,14.03,15.82,25.83,29.04,31.25,41.99
h_1,0.06,0.07,0.06,0.07,0.09,0.14,1.0,1.51,1.27,1.63,1.63,2.5,3.33,3.68,4.01,6.71
g_1,0.05,0.05,0.04,0.05,0.07,0.1,0.64,1.0,1.06,1.24,1.23,2.18,2.45,2.66,3.23,4.39
c_0,0.03,0.05,0.04,0.06,0.06,0.11,0.74,0.91,1.0,1.72,1.56,1.92,2.73,3.34,3.22,4.69
b_0,0.03,0.04,0.04,0.05,0.05,0.07,0.59,0.76,0.59,1.0,1.13,1.41,2.06,2.68,2.47,3.43
d_0,0.03,0.03,0.02,0.05,0.06,0.07,0.63,0.8,0.61,0.84,1.0,1.45,1.85,2.0,2.63,3.33
f_0,0.02,0.03,0.02,0.03,0.04,0.06,0.4,0.46,0.53,0.72,0.71,1.0,1.42,1.44,2.57,2.08
h_0,0.02,0.02,0.02,0.02,0.03,0.04,0.3,0.42,0.36,0.5,0.52,0.73,1.0,1.02,1.28,1.98
a_0,0.02,0.02,0.02,0.02,0.02,0.03,0.26,0.36,0.31,0.36,0.5,0.71,1.01,1.0,1.04,1.75
e_0,0.01,0.02,0.01,0.02,0.02,0.03,0.24,0.29,0.3,0.41,0.38,0.4,0.8,0.97,1.0,1.45
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.23,0.21,0.3,0.29,0.48,0.5,0.55,0.68,1.0
