,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,102.89,36.45,67.33,53.78,73.79,127.17,5525.92,10290.6,10388.45,12595.14,20270.13,9825.19,38912.8,58154.51,56476.8,111282.28
d_1,36.18,121.31,30.79,41.46,64.44,159.86,5716.55,4073.22,9309.52,22226.31,16589.65,24854.89,55559.33,71823.06,88337.21,96454.69
e_1,26.0,38.36,121.49,50.81,66.83,201.51,4548.23,18090.26,9765.59,12125.98,17926.76,26039.16,54231.36,55719.79,48837.15,102453.64
c_1,28.27,37.27,32.57,148.53,94.31,171.81,3621.76,7970.94,10061.1,5189.84,13337.42,23747.27,47139.26,59158.66,55777.2,102874.77
b_1,23.89,37.52,29.86,30.48,194.69,232.1,4821.69,8335.32,6833.77,9751.45,5696.7,19030.73,46794.32,40543.73,69783.55,93246.55
a_1,22.46,24.51,21.37,27.19,37.45,431.99,3041.77,6598.1,6443.08,7705.33,8769.14,15907.66,30702.12,16014.25,58079.1,57250.13
h_1,11.54,9.89,12.69,19.17,18.24,50.58,3246.79,2694.83,3695.49,4223.14,5966.39,8077.16,11804.86,19374.86,27639.06,37716.22
d_0,7.87,6.68,7.42,22.4,15.63,48.16,1514.79,4492.06,1842.61,2950.03,5515.35,6874.45,12055.05,14950.59,21702.48,29099.08
g_1,7.6,13.05,8.32,12.08,17.88,33.58,1147.46,3171.47,5483.4,2794.46,5028.62,9697.25,13679.52,16425.52,25048.69,17944.15
c_0,8.86,6.77,11.53,7.92,13.78,39.23,1353.93,3086.02,2376.04,5436.7,8347.66,7059.04,15507.01,15360.25,22241.72,25151.32
b_0,7.22,9.14,8.43,13.39,7.48,35.7,1163.9,2382.2,2113.67,2333.75,6728.41,5132.67,13081.37,23506.09,22204.39,22079.38
f_0,5.11,7.61,6.51,10.84,15.2,32.22,938.56,2418.3,1754.03,2716.27,3603.64,9164.21,9267.96,13521.94,28696.16,17214.89
h_0,7.81,6.38,5.35,7.79,9.74,26.48,572.43,1746.3,1774.33,1714.53,2968.5,4656.92,4881.73,8793.27,14811.69,22372.55
a_0,4.48,5.72,5.96,7.86,9.13,,815.42,1822.48,1252.12,2265.31,2228.63,4282.27,9440.72,18964.73,10628.36,16460.09
e_0,6.29,5.28,2.11,8.24,6.46,20.16,800.17,1401.52,1207.05,1964.67,2356.24,3188.84,7775.99,12662.06,23375.59,14383.52
g_0,3.72,6.89,4.31,6.48,8.06,23.82,595.5,1165.68,788.85,1682.67,2779.26,5028.72,4560.76,8587.37,12905.21,9632.25
