,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,95.61,100.06,88.25,111.46,146.8,345.95,9196.33,20089.7,21299.28,25880.29,29081.66,44305.81,85610.55,107265.18,198683.94,147819.8
e_1,49.16,105.51,77.11,123.61,170.28,425.92,10671.45,18572.23,35891.28,29510.36,34331.31,61075.68,89000.7,103348.59,227789.41,186391.54
d_1,54.69,53.68,133.74,88.81,141.51,330.68,10160.55,16469.89,16299.69,39731.11,34104.24,46915.07,90177.48,114848.9,179576.19,209642.92
c_1,51.16,49.99,66.61,156.36,206.49,363.29,8686.17,15320.27,14941.28,18967.9,19567.72,46279.06,79371.36,103195.28,165492.14,169869.2
b_1,45.6,44.71,60.01,67.41,219.02,494.87,8190.24,13685.82,16799.12,21600.55,18668.82,37624.14,80487.86,66328.93,178659.24,163537.8
a_1,36.77,32.88,52.47,55.44,77.21,470.63,6069.55,11216.77,11593.34,19806.42,19742.53,29939.9,62405.37,50843.44,114364.57,106612.44
h_1,17.69,14.74,21.44,24.74,32.72,76.02,3460.23,5844.74,5467.63,6665.7,7507.86,11248.98,18066.34,26050.82,63023.52,52067.11
g_1,10.65,11.39,22.14,20.07,29.13,71.82,1915.98,5706.38,4121.18,5513.73,6211.48,12718.19,15993.6,23067.71,36908.5,41089.22
d_0,10.97,10.13,12.55,33.71,29.56,75.02,2010.07,3165.96,5377.4,4163.05,6562.22,9595.49,18368.53,22424.96,39399.67,48139.93
c_0,11.79,10.39,15.19,17.45,20.1,59.86,2052.18,3779.21,4131.2,6887.88,9412.08,8869.05,19189.3,24326.11,43198.29,46387.98
b_0,11.1,10.31,15.63,20.89,20.22,53.86,1994.05,3652.78,3792.37,4627.64,7389.87,8791.51,17217.68,34301.07,36227.86,42615.03
f_0,7.55,7.61,14.4,15.84,23.14,57.22,1688.51,2755.23,3501.67,4745.51,5194.06,10977.25,13934.01,18430.77,32920.66,58141.06
h_0,9.29,8.2,11.33,13.25,18.33,45.6,1159.06,2979.58,2521.18,3456.76,4043.62,6382.43,10376.3,15449.0,34410.29,24905.2
a_0,7.73,6.72,10.19,12.37,18.4,32.09,1317.83,2162.72,2506.4,3117.42,3164.02,6193.68,11351.2,19153.84,26975.19,29293.96
g_0,5.24,5.22,11.36,10.63,13.94,36.03,840.4,1545.57,2070.98,2853.79,3281.47,7462.0,8911.8,11359.18,19922.17,24603.66
e_0,6.98,5.47,7.67,11.01,13.3,34.44,999.07,1919.88,2042.5,2551.47,2961.03,3944.16,10536.9,12614.53,21183.68,30595.85
