,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,2.45,0.63,0.75,0.84,0.9,0.68,1.43,1.48,2.72,1.92,1.79,1.74,1.94,0.87,2.31,1.77
f_1,1.25,2.48,0.71,0.69,0.71,0.63,1.55,1.38,1.52,1.74,0.85,1.82,2.26,1.56,1.56,1.73
d_1,0.73,0.91,2.52,0.65,0.71,0.68,1.48,1.18,1.13,2.72,1.66,2.12,2.05,1.88,2.26,1.94
c_1,0.63,0.83,0.77,2.52,1.14,0.87,1.3,1.37,1.62,0.54,1.75,1.39,2.03,1.64,2.04,1.7
b_1,0.73,0.86,0.85,0.68,2.65,1.2,1.32,1.57,1.69,1.68,1.32,0.76,2.58,1.67,1.75,1.61
a_1,0.82,0.82,0.81,0.7,0.65,3.22,1.62,1.64,1.7,1.86,1.82,1.71,1.92,1.59,2.19,1.16
h_1,1.03,1.23,1.04,1.07,0.91,1.03,3.94,2.05,2.11,2.07,2.07,2.18,1.24,1.63,3.28,1.95
g_1,0.81,0.86,1.46,1.18,0.92,0.74,2.09,4.26,1.97,1.87,2.96,2.32,2.58,2.22,1.85,2.09
d_0,0.88,1.1,0.41,1.69,1.01,0.88,2.01,2.14,3.67,1.92,2.79,1.83,2.57,2.15,2.61,1.68
c_0,1.0,1.06,1.08,0.8,0.93,0.9,2.22,2.57,2.29,3.73,3.04,4.15,2.79,2.52,2.91,2.76
f_0,0.93,0.57,1.15,1.24,1.22,0.99,2.0,1.82,2.08,2.03,3.98,2.09,2.41,4.67,2.35,2.25
b_0,1.12,0.97,0.91,1.23,0.68,1.05,1.96,2.22,2.48,1.62,2.82,4.07,3.09,2.22,3.08,3.91
h_0,1.12,1.26,1.06,1.11,0.79,0.92,1.34,2.55,2.06,1.96,2.4,2.1,1.99,2.04,3.83,2.08
e_0,0.53,1.15,1.0,1.31,1.05,1.04,2.58,2.37,2.62,2.41,1.69,2.19,3.08,4.87,2.51,2.34
g_0,0.8,1.12,1.33,1.03,0.94,1.13,1.99,1.41,1.93,2.19,3.14,1.79,2.09,2.32,2.05,1.97
a_0,0.91,1.15,1.1,1.15,0.72,0.82,2.56,2.32,2.22,2.23,2.31,2.18,3.2,2.59,3.17,4.74
