,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,90.74,78.82,76.79,87.35,100.67,19.91,22.43,17.11,15.51,13.65,,7.08,16.12,11.0,19.71
e_1,55.26,1.15,91.26,110.07,90.27,90.6,21.9,17.26,20.31,20.52,14.76,29.39,10.45,19.35,13.44,
d_1,98.89,136.12,1.15,67.39,67.7,82.36,21.9,18.19,19.7,,39.0,17.06,11.0,12.48,8.44,15.23
c_1,96.36,93.13,91.26,1.15,84.62,86.29,28.26,,21.67,11.36,23.74,16.53,11.0,18.43,15.12,18.61
b_1,110.53,131.07,84.59,71.78,1.16,129.43,32.44,30.59,25.0,21.93,,23.0,22.0,21.5,15.12,23.93
a_1,134.21,252.79,204.0,173.79,93.38,1.15,35.04,37.39,,48.92,45.5,31.12,29.86,,22.69,
h_1,93.95,98.31,78.82,76.79,79.65,86.29,2.0,15.65,22.41,18.17,32.12,18.89,,24.19,11.34,16.75
c_0,101.57,93.13,60.84,,93.38,82.36,23.68,2.96,25.0,20.52,18.83,15.56,11.3,20.37,15.78,12.41
g_1,178.95,153.87,123.86,150.09,159.29,,23.05,23.21,2.0,28.91,20.22,22.04,12.29,25.8,,
d_0,107.37,51.29,,89.24,96.71,72.48,25.76,19.23,50.0,3.09,17.06,19.59,13.93,18.43,16.5,15.23
b_0,110.53,114.16,123.86,137.58,,164.73,32.44,11.22,27.08,19.27,3.05,21.16,14.93,,16.5,27.92
f_0,,114.16,150.78,143.57,150.44,120.8,36.5,22.43,23.21,21.93,12.7,3.13,23.22,22.76,8.64,17.63
h_0,78.29,78.64,123.86,94.34,100.3,106.59,,16.02,38.24,19.88,20.22,18.89,,14.33,13.44,18.61
a_0,134.21,168.52,173.4,254.0,135.4,,67.38,35.42,54.17,23.56,,24.05,27.87,3.1,24.2,
g_0,107.37,110.59,105.09,94.34,150.44,164.73,20.37,30.59,,21.2,28.74,26.45,12.29,27.64,,19.71
e_0,234.88,,138.72,150.09,246.18,,58.4,33.65,,30.29,39.0,17.06,29.86,,27.92,3.16
