,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.25,1.75,1.75,3.17,19.7,27.31,29.82,43.62,37.69,48.38,67.15,71.67,99.83,137.68
f_1,1.21,1.0,1.13,1.4,1.5,3.04,17.56,26.01,25.58,28.3,35.92,32.99,50.31,61.11,66.86,108.4
d_1,0.79,0.91,1.0,1.05,1.24,2.7,16.25,16.68,29.61,24.69,29.75,32.54,50.11,63.06,72.87,75.83
c_1,0.58,0.69,1.0,1.0,1.6,2.19,14.39,17.71,17.15,16.76,22.3,26.46,43.59,44.71,64.83,71.43
b_1,0.57,0.67,0.78,0.62,1.0,2.93,13.93,15.3,20.0,18.86,22.46,25.51,42.34,43.09,61.52,67.52
a_1,0.31,0.32,0.37,0.46,0.35,1.0,7.45,7.5,10.03,10.47,15.22,13.79,24.21,23.89,31.41,33.84
h_1,0.05,0.06,0.06,0.07,0.07,0.14,1.0,1.43,1.38,1.36,1.65,2.12,2.92,3.28,4.02,6.31
g_1,0.04,0.04,0.06,0.06,0.06,0.13,0.74,1.0,1.24,1.22,1.5,2.09,2.13,2.57,3.86,3.76
c_0,0.03,0.04,0.03,0.06,0.05,0.1,0.73,0.81,1.0,1.28,1.64,1.37,2.19,2.69,3.66,3.9
d_0,0.02,0.04,0.04,0.06,0.06,0.1,0.71,0.79,0.77,1.0,1.14,1.22,2.04,1.91,2.98,3.64
b_0,0.03,0.03,0.03,0.04,0.05,0.06,0.62,0.65,0.61,0.84,1.0,1.03,1.79,2.68,2.36,2.84
f_0,0.02,0.03,0.03,0.04,0.04,0.07,0.49,0.48,0.75,0.8,0.97,1.0,1.69,1.85,3.87,2.32
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.34,0.48,0.43,0.5,0.57,0.58,1.0,1.2,1.53,1.98
a_0,0.01,0.02,0.02,0.02,0.02,0.05,0.31,0.39,0.39,0.52,0.38,0.58,0.81,1.0,1.55,1.59
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.26,0.26,0.3,0.33,0.42,0.3,0.73,0.67,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.15,0.27,0.25,0.27,0.35,0.44,0.51,0.62,0.91,1.0
