,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.52,0.74,1.16,0.75,0.67,0.49,0.71,0.72,0.76,0.87,0.8,0.5,0.82,0.69,0.5,0.85
d_1,0.84,1.53,0.72,0.62,0.67,0.61,0.91,0.76,1.36,0.67,0.99,0.91,0.86,0.83,0.81,0.69
e_1,0.74,0.69,1.54,0.87,0.71,0.6,0.85,0.87,0.85,1.44,0.81,1.0,1.05,0.78,0.67,0.9
c_1,0.78,0.77,0.7,1.56,1.16,0.51,0.82,0.73,0.5,0.71,0.68,0.79,0.92,0.67,0.69,0.86
b_1,0.76,0.81,0.73,0.62,1.6,1.09,0.81,0.73,0.8,0.86,0.57,0.83,0.98,0.71,0.86,1.03
a_1,0.93,0.85,0.67,0.88,0.68,1.76,1.07,0.9,1.03,0.8,1.02,1.01,1.24,0.58,0.88,0.97
h_1,1.28,0.98,0.96,1.08,0.7,0.76,1.82,1.33,1.17,1.07,1.33,1.04,1.09,1.06,0.97,1.52
g_1,0.94,1.45,0.81,0.99,0.98,0.74,0.92,1.83,1.12,1.06,1.15,1.58,1.03,1.02,1.05,0.96
c_0,1.26,1.05,1.02,0.95,0.72,0.71,1.11,1.15,1.67,1.34,1.88,1.34,1.43,1.14,1.04,1.25
d_0,1.05,0.75,0.85,1.67,0.92,0.81,1.18,1.11,0.91,1.65,1.36,1.17,1.22,1.05,0.99,1.16
b_0,1.14,1.18,1.05,1.23,0.66,0.65,1.05,1.16,1.14,1.08,1.73,1.19,1.42,1.85,1.0,1.14
f_0,0.9,1.13,0.83,1.24,0.91,0.8,1.19,0.98,1.16,1.44,1.25,1.69,1.45,1.15,2.02,1.09
h_0,1.43,1.28,1.04,0.95,0.89,0.73,0.74,1.54,1.33,1.22,1.13,1.1,1.16,1.02,1.03,1.54
a_0,1.19,1.12,1.08,1.33,0.95,0.69,1.04,1.13,1.26,1.36,1.0,1.19,1.44,1.75,1.15,1.29
e_0,1.39,1.13,0.93,1.13,0.91,0.92,1.28,1.31,1.42,1.27,1.51,0.94,1.45,1.37,1.76,1.19
g_0,1.08,1.72,0.94,1.0,0.89,0.85,1.04,1.02,1.27,1.09,1.36,1.78,1.29,1.0,1.24,1.04
