,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.45,3.82,3.94,4.16,4.68,4.92,0.87,1.73,0.73,0.71,0.8,2.38,0.9,0.44,0.62,0.7
e_1,2.41,0.44,4.65,5.02,4.89,4.84,1.3,1.34,0.82,0.99,1.04,1.03,0.78,0.66,4.36,0.8
d_1,5.25,4.63,0.43,5.69,3.99,3.53,1.29,0.79,0.91,3.9,0.79,0.73,0.79,0.49,0.89,0.39
c_1,4.43,4.35,4.0,0.41,5.56,4.01,1.31,1.52,4.83,0.55,1.08,0.99,0.84,0.73,0.81,0.77
b_1,5.3,5.46,5.94,2.3,0.39,4.64,1.55,1.64,1.29,1.18,2.89,0.85,1.24,0.68,0.98,0.67
a_1,6.7,7.32,5.67,6.27,3.34,0.32,1.68,1.44,1.18,1.26,2.22,1.27,,1.11,1.44,0.89
h_1,5.08,5.34,5.58,4.82,3.89,4.67,0.37,1.43,1.05,1.13,0.98,1.12,0.95,2.52,1.03,0.71
g_1,6.31,4.65,5.65,6.39,5.68,6.83,1.37,0.32,1.33,1.13,1.01,1.33,0.88,0.65,1.2,2.39
c_0,6.44,5.44,3.15,17.54,5.58,5.86,1.91,1.33,0.43,1.3,1.16,1.25,1.08,0.91,1.01,0.8
d_0,5.25,3.11,15.6,7.06,6.01,6.13,1.74,1.9,1.15,0.44,0.93,1.07,1.35,0.88,1.5,0.88
b_0,5.53,5.69,5.75,6.72,12.27,8.67,1.72,1.75,0.54,1.25,0.4,0.98,1.34,1.03,1.64,0.95
f_0,15.14,5.85,6.45,6.31,4.56,6.9,1.75,1.24,1.27,1.17,1.08,0.39,1.07,0.84,1.2,0.49
a_0,7.05,5.95,6.89,7.25,7.77,,1.7,2.03,1.43,1.36,0.87,1.38,0.38,1.22,2.37,0.82
h_0,7.05,7.37,6.89,6.66,7.61,7.15,3.57,1.99,1.48,1.36,1.11,1.44,1.16,2.44,1.13,1.15
e_0,10.8,24.26,6.03,7.07,6.03,6.19,1.82,1.53,1.62,1.75,1.58,0.81,1.58,1.03,0.34,1.0
g_0,9.37,9.2,7.24,6.83,8.8,5.71,1.57,4.98,1.67,1.73,1.35,1.54,1.77,1.0,1.46,3.17
