,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.16,0.22,0.34,0.45,0.38,0.32,0.1,0.12,0.08,0.07,0.1,0.07,0.05,0.1,0.06,0.07
f_1,0.34,0.16,0.32,0.37,0.33,0.3,0.08,0.12,0.08,0.07,0.1,0.07,0.04,0.08,0.06,0.06
d_1,0.43,0.38,0.15,0.36,0.34,0.32,0.08,0.06,0.11,0.06,0.06,0.07,0.05,0.07,0.03,0.06
c_1,0.29,0.37,0.47,0.15,0.33,0.36,0.1,0.09,0.04,0.08,0.07,0.07,0.05,0.07,0.05,0.07
b_1,0.35,0.35,0.41,0.22,0.14,0.33,0.12,0.11,0.07,0.11,0.08,0.1,0.06,0.08,0.06,0.08
a_1,0.38,0.44,0.41,0.31,0.2,0.09,0.11,0.11,0.08,0.09,0.07,0.09,0.06,0.06,0.06,0.09
h_1,0.31,0.33,0.29,0.36,0.33,0.27,0.05,0.09,0.07,0.07,0.06,0.07,0.05,0.06,0.04,0.06
g_1,0.31,0.37,0.31,0.33,0.31,0.29,0.07,0.05,0.06,0.06,0.07,0.06,0.04,0.06,0.05,0.05
d_0,0.21,0.32,0.41,0.35,0.34,0.28,0.11,0.11,0.05,0.06,0.08,0.07,0.05,0.08,0.05,0.07
c_0,0.35,0.32,0.22,0.47,0.37,0.28,0.09,0.08,0.09,0.05,0.07,0.07,0.06,0.07,0.04,0.07
f_0,0.31,0.39,0.31,0.33,0.37,0.28,0.08,0.06,0.06,0.06,0.04,0.06,0.05,0.06,0.03,0.06
b_0,0.3,0.32,0.26,0.44,0.44,0.29,0.09,0.08,0.08,0.04,0.07,0.04,0.05,0.06,0.05,0.06
h_0,0.31,0.33,0.31,0.33,0.3,0.29,0.1,0.08,0.07,0.06,0.07,0.06,0.06,0.06,0.05,0.05
e_0,0.36,0.46,0.27,0.32,0.3,0.27,0.1,0.07,0.07,0.06,0.04,0.06,0.05,0.03,0.04,0.05
g_0,0.32,0.39,0.28,0.37,0.33,0.27,0.07,0.09,0.07,0.06,0.06,0.07,0.04,0.06,0.05,0.06
a_0,0.29,0.32,0.29,0.33,0.42,0.4,0.09,0.08,0.07,0.05,0.06,0.04,0.04,0.07,0.05,0.03
