,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,5.66,0.08,0.05,0.07,0.07,0.04,0.33,0.3,0.69,0.32,0.39,0.42,0.78,,0.56,0.35
f_1,0.14,5.71,0.08,0.08,0.07,0.06,0.32,0.26,0.41,0.43,,0.37,0.73,0.27,0.4,0.24
d_1,0.06,0.08,6.19,0.07,0.08,0.08,0.29,0.27,,0.75,0.33,0.45,0.66,0.37,0.7,0.22
c_1,0.06,0.1,0.07,6.61,0.13,0.06,0.33,0.19,0.46,,0.38,0.36,0.81,0.36,0.55,0.35
b_1,0.07,0.08,0.06,0.05,7.88,0.14,0.36,0.2,0.41,0.38,0.42,,0.6,0.43,0.58,0.41
a_1,0.09,0.08,0.09,0.07,0.08,10.03,0.32,0.28,0.34,0.43,0.35,0.27,0.53,,0.52,
h_1,0.27,0.42,0.29,0.26,0.36,0.25,14.32,1.8,1.19,1.5,1.36,1.38,,1.27,1.91,1.63
g_1,0.37,0.17,0.49,0.24,0.22,0.33,0.99,17.96,1.33,1.49,1.77,1.41,1.81,1.5,,1.54
d_0,0.36,0.44,,0.73,0.42,0.44,1.59,1.27,11.59,1.48,2.27,1.78,2.88,1.73,3.09,2.21
c_0,0.38,0.35,0.43,,0.32,0.44,1.19,1.6,1.76,12.12,2.27,3.63,2.71,1.83,3.09,2.0
f_0,0.44,,0.3,0.44,0.4,0.37,1.51,1.14,2.4,1.82,14.38,1.81,2.03,3.51,3.41,2.16
b_0,0.39,0.31,0.32,0.42,,0.35,1.59,1.86,2.11,1.72,1.58,14.75,2.36,2.24,2.75,3.55
h_0,0.58,0.77,0.54,0.63,0.54,0.74,,2.55,2.71,2.88,2.42,2.66,,3.01,5.67,2.51
e_0,,0.41,0.43,0.46,0.28,0.33,1.64,1.68,2.02,1.73,2.86,1.34,3.3,20.67,2.61,
g_0,0.42,0.44,1.0,0.53,0.66,0.45,2.15,,2.88,3.4,3.64,1.67,4.45,4.0,,2.29
a_0,0.33,0.41,0.53,0.39,,,1.14,1.43,1.89,1.79,1.92,2.2,2.51,,3.43,22.79
