,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.44,0.34,0.45,0.36,0.24,0.33,0.32,0.33,0.59,0.31,0.34,0.4,0.25,0.17,0.31
f_1,0.67,0.92,0.34,0.36,0.31,0.22,0.31,0.28,0.31,0.36,0.32,0.22,0.33,0.22,0.16,0.25
d_1,0.38,0.45,0.93,0.27,0.28,0.28,0.4,0.34,0.63,0.24,0.39,0.32,0.41,0.32,0.25,0.38
c_1,0.37,0.41,0.35,0.91,0.61,0.24,0.32,0.3,0.22,0.38,0.24,0.29,0.34,0.21,0.24,0.25
b_1,0.43,0.43,0.34,0.35,0.91,0.44,0.31,0.3,0.31,0.36,0.23,0.3,0.36,0.2,0.23,0.25
a_1,0.46,0.4,0.4,0.38,0.31,0.89,0.41,0.31,0.4,0.38,0.36,0.33,0.44,0.21,0.27,0.29
h_1,0.48,0.56,0.47,0.37,0.31,0.24,0.66,0.4,0.39,0.35,0.34,0.38,0.31,0.26,0.23,0.39
g_1,0.4,0.39,0.55,0.35,0.32,0.28,0.36,0.65,0.42,0.34,0.36,0.53,0.38,0.27,0.29,0.26
c_0,0.45,0.5,0.46,0.32,0.29,0.22,0.42,0.34,0.58,0.36,0.61,0.37,0.43,0.38,0.28,0.38
d_0,0.43,0.47,0.3,0.67,0.42,0.23,0.37,0.3,0.25,0.53,0.28,0.33,0.37,0.22,0.23,0.28
b_0,0.48,0.48,0.5,0.38,0.29,0.18,0.43,0.37,0.4,0.34,0.57,0.35,0.47,0.54,0.23,0.37
f_0,0.38,0.45,0.44,0.42,0.35,0.26,0.42,0.36,0.4,0.41,0.41,0.56,0.43,0.29,0.48,0.35
h_0,0.49,0.59,0.43,0.35,0.31,0.2,0.31,0.44,0.36,0.39,0.36,0.34,0.35,0.34,0.25,0.38
a_0,0.44,0.49,0.44,0.39,0.32,0.2,0.42,0.39,0.44,0.41,0.37,0.37,0.44,0.5,0.29,0.35
e_0,0.38,0.51,0.48,0.42,0.37,0.26,0.47,0.36,0.38,0.34,0.38,0.3,0.41,0.23,0.47,0.33
g_0,0.39,0.41,0.63,0.38,0.34,0.27,0.37,0.35,0.41,0.32,0.41,0.48,0.37,0.31,0.26,0.29
