,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.4,1.31,1.27,1.71,3.21,20.03,27.43,36.86,38.74,41.94,49.95,61.33,97.56,107.91,167.73
e_1,0.71,1.0,1.75,1.37,1.54,3.67,23.89,35.52,31.26,38.29,52.3,60.94,89.18,139.83,134.42,159.21
c_1,0.76,0.57,1.0,1.13,1.82,2.54,18.62,13.42,22.5,23.74,26.16,37.03,57.13,94.06,76.45,99.29
d_1,0.78,0.73,0.89,1.0,1.16,1.94,14.02,18.26,30.93,20.41,33.91,35.47,61.32,70.56,82.78,80.9
b_1,0.59,0.64,0.55,0.86,1.0,2.81,12.6,14.7,20.57,21.32,27.77,32.02,49.35,67.36,60.03,84.68
a_1,0.31,0.27,0.4,0.52,0.36,1.0,8.01,8.99,11.35,13.72,19.78,17.45,21.49,39.27,74.52,45.62
h_1,0.05,0.04,0.05,0.07,0.08,0.12,1.0,1.14,1.39,2.04,1.85,2.36,3.45,5.4,5.93,8.04
d_0,0.04,0.03,0.07,0.05,0.08,0.11,0.87,1.0,1.35,1.51,1.91,2.16,2.96,4.86,3.93,6.37
c_0,0.03,0.03,0.05,0.03,0.05,0.08,0.7,0.75,1.0,1.09,1.84,1.71,2.16,3.23,3.55,4.25
g_1,0.03,0.03,0.04,0.05,0.05,0.08,0.49,0.66,0.93,1.0,1.19,1.7,1.83,3.64,3.72,2.52
b_0,0.02,0.02,0.04,0.03,0.04,0.05,0.52,0.53,0.56,0.86,1.0,1.06,1.69,2.84,3.79,3.03
f_0,0.02,0.02,0.03,0.03,0.03,0.06,0.43,0.46,0.57,0.56,0.89,1.0,1.52,3.18,2.45,2.16
h_0,0.02,0.01,0.02,0.02,0.02,0.04,0.29,0.35,0.47,0.54,0.6,0.66,1.0,1.41,1.37,2.37
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.2,0.31,0.27,0.34,0.34,0.69,1.0,1.09,1.35
a_0,0.01,0.01,0.01,0.01,0.02,,0.17,0.25,0.28,0.28,0.26,0.4,0.73,1.05,1.0,1.17
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.16,0.24,0.36,0.33,0.45,0.4,0.73,0.84,1.0
