,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.11,5.2,5.12,4.66,4.54,4.22,1.04,0.77,0.94,0.91,2.07,0.87,0.54,0.79,0.83,0.42
f_1,4.14,1.12,4.1,5.29,4.1,4.5,0.99,1.62,0.95,0.85,1.12,1.34,0.58,0.88,0.9,0.79
e_1,5.42,2.49,1.12,5.16,4.87,4.06,1.62,1.64,1.1,1.0,0.94,1.27,0.79,1.19,2.7,0.91
c_1,6.49,5.74,3.95,1.13,5.61,4.43,1.41,1.56,1.83,0.96,0.49,0.9,0.74,1.08,0.86,0.73
b_1,5.66,6.51,5.67,2.8,1.13,8.19,1.88,1.84,1.49,2.24,1.28,1.03,0.9,1.19,1.15,0.73
a_1,7.71,6.93,8.69,8.71,3.76,1.14,2.73,2.42,1.55,2.09,2.1,1.83,1.39,4.02,1.75,1.18
h_1,15.62,14.49,15.12,16.32,14.97,12.9,1.76,4.43,3.17,2.84,2.83,3.39,2.74,2.92,3.14,2.03
g_1,15.69,21.83,19.29,17.32,19.93,16.13,3.72,1.71,3.74,3.24,3.7,3.34,1.83,3.49,2.91,3.59
c_0,9.21,23.95,20.19,36.48,19.37,18.68,5.36,4.4,2.08,4.05,4.49,4.07,2.81,4.14,3.94,2.82
b_0,15.98,20.9,21.46,28.98,31.84,16.9,5.5,6.28,2.25,2.28,4.63,3.92,2.84,3.2,3.56,2.8
d_0,35.54,20.78,10.5,20.4,30.11,19.9,7.74,7.93,4.51,4.1,2.33,4.1,3.19,4.3,5.36,3.63
f_0,21.63,44.79,25.62,21.1,24.09,26.95,7.21,4.1,4.31,4.69,4.46,2.3,3.14,4.39,5.36,2.13
h_0,25.06,33.81,26.82,31.64,28.27,22.65,13.93,6.88,5.13,5.06,5.66,4.91,6.03,4.9,4.79,4.55
a_0,27.64,29.48,30.11,32.3,31.12,36.71,7.89,8.4,5.09,3.53,5.61,7.5,4.37,2.41,5.22,5.01
e_0,25.42,42.06,60.23,32.99,31.48,26.28,8.2,7.68,6.39,5.61,6.0,2.68,3.63,6.09,2.39,3.97
g_0,30.55,44.79,39.92,40.8,34.62,38.71,6.74,16.41,7.48,8.37,8.3,6.73,4.17,6.09,6.59,7.41
