,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,5.67,0.07,0.05,0.08,0.09,0.08,0.37,0.56,0.26,0.48,0.31,0.31,0.64,0.52,0.41,
f_1,0.16,6.08,0.09,0.08,0.08,0.06,0.24,0.37,0.21,0.37,0.36,,0.59,0.28,0.67,0.23
d_1,0.08,0.08,6.25,0.06,0.09,0.07,0.36,,0.29,0.72,0.39,0.43,0.59,0.3,0.57,0.36
c_1,0.07,0.08,0.08,6.34,0.14,0.1,0.32,0.38,0.35,,0.28,0.4,0.58,0.31,0.54,0.39
b_1,0.07,0.07,0.09,0.08,6.98,0.15,0.36,0.27,0.28,0.42,,0.42,0.56,0.25,0.64,
a_1,0.06,0.07,0.07,0.07,0.1,10.37,0.28,0.44,,0.47,0.35,0.47,0.6,,0.37,0.49
h_1,0.25,0.41,0.3,0.16,0.26,0.34,14.93,1.52,1.76,0.92,1.16,1.29,,1.5,4.3,1.58
d_0,0.43,0.36,,0.73,0.38,0.42,1.22,11.57,1.03,1.71,2.45,1.72,3.25,1.7,2.4,2.6
g_1,0.23,0.32,0.46,0.27,0.28,,0.95,1.73,19.11,1.49,1.27,2.65,1.74,1.21,,1.35
c_0,0.35,0.5,0.31,,0.31,0.41,1.51,2.65,1.18,12.92,3.32,2.12,3.27,1.34,2.98,1.72
b_0,0.4,0.38,0.31,0.46,,0.33,1.93,1.51,0.92,1.88,15.01,2.16,3.29,4.56,2.01,1.83
f_0,0.28,,0.5,0.45,0.36,0.34,1.68,2.03,1.93,1.83,1.33,14.81,3.33,2.13,3.43,
h_0,0.75,0.72,0.5,0.6,0.71,0.37,,2.68,3.02,2.34,3.71,1.83,,3.18,4.7,3.55
a_0,0.31,0.37,0.4,0.23,0.23,,1.5,2.15,2.02,1.86,1.87,2.37,3.64,21.22,,
g_0,0.41,0.46,0.94,0.64,0.5,0.51,1.77,3.26,,3.09,3.01,4.32,4.7,,,
e_0,,0.45,0.49,0.52,,0.42,1.23,1.9,1.24,2.41,3.0,,2.7,,,23.88
