,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.07,3.73,2.68,2.92,3.38,2.43,0.95,1.39,0.93,0.86,0.87,2.44,0.63,0.94,0.76,0.83
e_1,2.1,1.07,3.68,3.6,3.13,3.12,1.4,1.25,1.1,1.19,1.11,1.05,0.84,0.9,0.87,2.41
d_1,3.74,3.46,1.07,2.8,3.15,2.88,1.14,1.0,1.2,2.37,1.04,0.97,0.76,0.85,0.54,0.79
c_1,4.22,3.35,4.5,1.07,3.81,3.2,1.37,1.1,1.67,0.69,0.94,0.99,0.83,0.91,0.86,0.79
b_1,4.04,4.04,4.12,2.48,1.07,4.08,1.84,1.48,1.32,1.09,2.18,1.02,0.9,0.94,0.9,1.02
a_1,6.0,4.92,6.16,6.12,3.31,1.07,2.0,1.99,1.23,1.38,1.67,1.28,1.39,2.96,0.95,1.45
h_1,8.65,7.18,7.57,7.94,6.0,6.29,1.38,3.1,2.29,2.37,2.15,1.66,2.85,1.8,1.6,1.63
g_1,8.99,8.94,7.64,10.53,8.99,7.49,2.58,1.37,2.49,2.09,2.05,2.88,1.31,1.72,2.6,2.0
c_0,10.15,8.34,5.32,21.24,8.42,8.58,3.03,2.94,1.61,3.12,2.91,2.82,1.81,2.42,1.98,2.06
d_0,10.71,5.1,14.64,11.27,10.52,8.24,3.31,3.74,2.45,1.7,2.43,2.3,2.09,2.79,2.08,2.08
b_0,10.5,10.82,7.98,11.62,13.94,6.88,3.57,3.31,1.75,2.96,1.63,2.43,2.15,2.66,2.19,2.41
f_0,16.46,9.74,10.82,10.06,10.41,8.44,5.16,2.54,2.89,3.09,2.84,1.67,2.1,2.21,1.7,2.58
h_0,12.87,10.97,12.31,17.25,10.16,9.06,7.15,5.19,3.79,3.62,3.74,3.61,4.44,3.26,2.9,2.64
a_0,12.59,13.21,13.05,15.91,16.45,15.31,5.35,5.32,3.23,4.17,2.38,3.45,2.35,1.65,2.7,2.94
g_0,14.71,12.26,14.68,13.05,14.14,13.02,4.05,6.95,3.9,4.18,3.8,4.35,2.52,3.71,5.21,5.38
e_0,21.4,19.63,13.71,14.98,12.42,9.83,5.07,5.28,4.38,3.84,3.24,2.06,4.06,5.11,1.99,1.67
