,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.48,0.72,0.42,0.52,0.43,0.29,0.52,0.56,0.55,0.45,0.53,0.18,0.53,0.36,0.35,0.46
e_1,0.44,1.5,0.44,0.52,0.38,0.43,0.58,0.87,0.5,0.59,0.41,0.55,0.55,0.47,0.36,0.52
d_1,0.53,0.51,1.53,0.34,0.41,0.39,0.56,0.34,0.46,0.91,0.58,0.49,0.6,0.56,0.56,0.43
c_1,0.49,0.44,0.51,1.55,0.68,0.37,0.56,0.55,0.4,0.25,0.49,0.53,0.7,0.42,0.44,0.47
b_1,0.48,0.59,0.53,0.44,1.61,0.71,0.58,0.57,0.48,0.49,0.28,0.4,0.45,0.32,0.28,0.45
a_1,0.6,0.45,0.56,0.51,0.35,1.75,0.57,0.63,0.45,0.66,0.63,0.7,0.68,0.4,0.56,0.76
h_1,1.05,0.61,0.81,0.69,0.62,0.52,1.67,0.84,1.08,0.83,0.75,0.66,0.52,0.65,0.77,1.01
d_0,0.93,0.69,0.37,1.28,0.65,0.54,0.83,1.46,0.57,0.74,0.77,0.89,0.86,0.65,0.77,0.93
g_1,0.69,0.64,1.08,0.75,0.73,0.65,0.61,0.91,1.76,0.71,0.9,1.23,0.87,0.82,0.84,0.53
c_0,0.97,0.66,0.75,0.46,0.7,0.59,1.06,0.91,1.08,1.55,1.51,0.88,1.07,1.02,0.82,1.0
b_0,0.82,0.96,0.81,0.87,0.33,0.44,1.1,1.01,1.06,0.79,1.58,0.95,0.94,1.38,0.91,0.77
f_0,0.68,0.74,1.04,0.73,1.01,0.46,0.83,0.89,0.84,1.0,0.97,1.58,1.01,0.78,1.39,0.9
h_0,1.09,0.77,0.74,0.77,0.76,0.71,0.67,0.97,0.91,0.9,0.95,0.93,0.67,0.89,0.84,1.19
a_0,1.09,0.82,0.87,0.86,0.85,,1.12,0.97,0.97,0.99,0.84,1.0,0.94,1.67,1.0,1.0
e_0,1.1,0.39,0.8,0.85,0.99,0.54,1.09,1.18,0.89,1.09,1.13,0.85,1.14,0.67,1.69,1.45
g_0,0.76,0.72,1.31,0.74,0.89,0.53,0.86,0.81,0.78,0.84,0.95,1.37,0.75,0.82,0.78,0.68
