,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.43,1.39,1.58,1.79,3.36,17.92,33.53,31.2,42.36,44.33,53.59,64.75,101.02,126.1,122.0
e_1,0.7,1.0,1.21,1.32,1.55,3.62,21.98,41.95,28.3,29.38,48.9,61.95,85.87,80.4,131.04,154.06
d_1,0.72,0.82,1.0,0.86,1.31,1.97,14.36,21.25,32.73,16.96,26.72,42.3,54.21,68.29,80.37,74.35
c_1,0.63,0.75,1.16,1.0,1.45,2.4,12.03,15.34,16.63,24.6,25.31,40.92,52.38,64.78,91.13,86.6
b_1,0.56,0.64,0.76,0.69,1.0,3.45,15.78,21.57,21.94,22.09,34.71,37.69,49.53,47.17,67.58,93.79
a_1,0.3,0.28,0.51,0.42,0.29,1.0,5.47,8.79,8.3,11.52,10.74,17.48,19.25,,36.64,27.89
h_1,0.06,0.04,0.07,0.08,0.06,0.18,1.0,1.22,1.58,2.03,1.7,2.3,3.91,4.42,4.96,6.56
d_0,0.03,0.02,0.04,0.07,0.05,0.11,0.82,1.0,1.08,1.21,1.28,1.77,2.48,2.82,3.7,4.25
c_0,0.03,0.03,0.03,0.06,0.04,0.12,0.63,0.92,1.0,1.12,1.82,1.68,2.4,2.92,3.81,3.6
g_1,0.02,0.03,0.06,0.04,0.04,0.08,0.48,0.86,0.86,1.0,1.23,1.99,1.85,2.25,3.15,2.85
b_0,0.02,0.02,0.04,0.04,0.03,0.09,0.58,0.73,0.58,0.8,1.0,1.22,1.73,2.8,2.6,2.23
f_0,0.02,0.02,0.02,0.03,0.02,0.06,0.44,0.57,0.61,0.49,0.81,1.0,1.29,1.76,3.57,1.92
h_0,0.02,0.01,0.02,0.02,0.02,0.05,0.24,0.39,0.41,0.55,0.57,0.77,1.0,0.97,1.74,1.85
a_0,0.01,0.01,0.01,0.02,0.02,,0.23,0.34,0.37,0.47,0.36,0.55,1.0,1.0,1.14,1.15
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.21,0.27,0.26,0.28,0.38,0.28,0.58,0.74,1.0,1.1
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.24,0.27,,0.44,0.54,0.54,0.91,0.89,1.0
