,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.89,0.77,1.17,1.04,1.04,1.08,1.07,1.47,1.03,1.14,1.15,1.11,1.04,1.14,1.06
d_1,1.11,1.0,1.12,0.88,0.95,0.95,1.07,0.81,0.94,1.23,1.04,0.97,0.89,1.1,0.92,0.89
f_1,1.32,0.9,1.0,0.96,0.97,0.92,0.77,0.95,0.95,0.94,0.95,0.98,0.9,0.99,0.83,1.1
c_1,0.86,1.15,1.03,1.0,1.35,0.84,0.94,0.98,0.7,0.85,0.78,0.81,1.0,0.94,0.92,0.95
b_1,0.95,1.01,1.04,0.74,1.0,1.41,1.24,1.05,1.0,1.1,0.89,1.01,1.01,0.85,1.03,1.04
a_1,0.94,1.09,1.07,1.18,0.72,1.0,1.04,1.24,1.1,0.99,1.15,1.11,1.22,1.01,1.15,1.06
h_1,0.9,0.95,1.25,1.07,0.83,0.97,1.0,1.19,0.96,0.95,1.03,0.96,1.1,0.92,0.94,1.14
g_1,0.99,1.24,1.02,1.0,0.94,0.84,0.82,1.0,0.85,1.01,0.92,1.16,0.91,0.9,1.06,0.92
d_0,0.7,1.1,1.03,1.43,1.0,0.88,1.06,1.19,1.0,0.89,1.05,0.94,1.03,1.0,1.06,0.98
c_0,0.98,0.82,1.04,1.1,0.91,0.97,1.03,1.0,1.16,1.0,1.42,1.19,1.11,1.13,1.1,1.02
b_0,0.85,0.93,1.02,1.29,1.14,0.9,0.97,1.09,0.99,0.67,1.0,1.07,1.01,1.3,1.05,1.0
f_0,0.88,1.01,1.07,1.23,0.93,0.86,1.08,0.88,1.05,0.89,0.92,1.0,1.1,0.91,1.49,0.8
h_0,0.94,1.11,1.15,0.98,0.94,0.83,0.91,1.09,0.93,0.89,0.99,0.89,1.0,0.96,0.91,1.09
a_0,0.96,0.94,1.02,1.04,1.24,0.89,1.13,1.15,0.97,0.85,0.76,1.08,1.06,1.0,1.06,0.95
e_0,0.88,1.07,1.2,1.07,0.98,0.82,1.09,0.92,0.97,0.99,0.99,0.68,1.06,0.96,1.0,0.91
g_0,0.95,1.18,0.92,1.01,0.92,0.97,0.85,1.09,0.98,0.96,1.01,1.22,0.9,1.04,1.08,1.0
