,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.54,0.77,1.37,0.91,0.78,0.64,0.97,0.91,1.08,0.92,0.75,0.87,1.0,1.09,0.91,0.63
d_1,1.04,1.55,0.95,0.76,0.86,0.63,1.01,0.93,0.87,1.58,1.04,1.2,1.2,1.0,0.91,0.87
e_1,0.85,0.79,1.54,1.03,0.86,0.8,1.08,0.98,1.63,1.04,1.09,1.12,1.22,1.05,0.94,0.81
c_1,0.92,0.99,0.79,1.57,1.4,0.61,1.02,0.87,0.84,0.67,0.97,0.79,1.17,1.07,0.82,0.83
b_1,0.98,0.91,0.9,0.81,1.6,1.35,1.15,0.99,1.01,1.02,1.04,0.81,1.05,1.16,0.66,0.95
a_1,1.08,1.15,0.91,1.13,0.69,1.77,1.1,1.16,1.21,1.1,1.22,1.21,1.28,1.16,0.72,1.01
h_1,1.43,1.13,1.03,1.24,0.99,0.84,1.81,1.39,1.3,1.17,1.17,1.27,1.16,1.62,1.0,1.2
g_1,1.05,1.61,1.07,1.2,1.03,0.91,1.14,1.87,1.16,1.37,1.67,1.42,1.32,1.09,0.97,1.22
d_0,1.15,1.08,0.98,1.85,1.19,0.84,1.36,1.3,1.74,0.98,1.15,1.22,1.34,1.41,1.24,1.13
c_0,1.28,1.13,1.1,1.13,1.01,1.02,1.46,1.4,1.66,1.78,1.5,2.15,1.55,1.49,1.46,1.39
f_0,1.02,1.37,1.03,1.26,1.17,1.0,1.48,1.34,1.43,1.45,1.81,1.41,1.58,1.26,1.24,2.03
b_0,1.4,1.33,1.08,1.4,0.96,0.87,1.41,1.23,1.44,1.13,1.4,1.79,1.75,1.47,2.07,1.27
h_0,1.64,1.3,1.17,1.15,1.2,0.93,1.2,1.56,1.38,1.31,1.38,1.36,1.28,1.79,1.17,1.1
g_0,1.08,1.73,1.21,1.24,1.07,0.95,1.4,1.35,1.31,1.51,1.93,1.44,1.33,1.3,1.33,1.31
a_0,1.28,1.51,1.22,1.32,1.23,0.85,1.66,1.47,1.54,1.3,1.57,1.15,1.74,1.63,1.88,1.14
e_0,1.43,1.48,0.75,1.45,1.26,1.06,1.64,1.43,1.41,1.36,1.29,1.54,1.76,1.7,1.39,1.89
