,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.82,0.89,1.01,0.82,0.72,0.48,0.5,0.62,0.45,0.45,0.47,0.36,0.41,0.33,0.43
f_1,1.22,1.0,0.95,0.93,0.76,0.74,0.46,0.53,0.43,0.37,0.4,0.35,0.35,0.27,0.35,0.22
d_1,1.13,1.06,1.0,0.91,0.88,0.73,0.54,0.4,0.4,0.56,0.47,0.38,0.34,0.35,0.26,0.28
c_1,0.99,1.07,1.1,1.0,1.26,0.56,0.51,0.42,0.33,0.38,0.35,0.37,0.36,0.38,0.35,0.31
b_1,1.21,1.31,1.13,0.79,1.0,1.17,0.54,0.51,0.46,0.5,0.47,0.5,0.39,0.4,0.32,0.31
a_1,1.41,1.37,1.37,1.77,0.85,1.0,0.93,0.64,0.65,0.58,0.58,0.55,0.5,0.54,0.45,0.52
h_1,2.08,2.21,1.88,1.95,1.93,1.04,1.0,1.07,0.88,0.91,0.86,0.74,0.68,0.77,0.73,0.63
g_1,1.99,1.97,2.43,2.32,1.88,1.55,0.94,1.0,0.85,0.96,0.8,0.99,0.71,0.64,0.6,0.73
d_0,1.6,2.36,2.48,2.97,2.02,1.52,1.14,1.21,1.0,0.81,0.93,0.95,0.76,0.88,0.7,0.77
c_0,2.12,2.81,1.76,2.63,1.86,1.68,1.09,1.08,1.19,1.0,1.33,1.01,0.9,0.92,0.67,0.7
b_0,2.3,2.52,2.13,2.95,2.22,1.69,1.19,1.27,1.03,0.74,1.0,1.01,1.17,0.97,0.84,0.77
f_0,2.04,2.79,2.68,2.63,2.17,1.74,1.41,0.99,1.07,1.01,1.0,1.0,0.92,1.0,0.59,1.11
a_0,2.79,2.9,3.05,2.71,2.5,1.89,1.46,1.46,1.29,1.04,0.93,1.1,1.0,0.88,0.89,0.97
h_0,2.5,3.68,2.86,2.65,2.48,1.79,1.27,1.57,1.13,1.09,1.07,0.99,1.08,1.01,0.99,0.8
g_0,2.95,2.93,3.91,2.81,3.06,2.13,1.38,1.7,1.44,1.4,1.17,1.65,1.09,1.04,1.0,1.02
e_0,2.52,4.62,3.48,3.44,2.93,2.03,1.65,1.37,1.29,1.41,1.26,0.91,1.03,1.1,0.94,1.0
