,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.02,0.69,1.23,0.8,0.65,0.65,0.93,0.75,0.93,0.98,0.93,0.61,0.98,0.97,0.83,0.68
d_1,0.8,2.17,0.7,0.55,0.73,0.72,1.01,1.02,1.68,0.63,1.24,1.08,0.95,1.1,1.19,1.03
e_1,0.86,0.69,2.13,0.9,0.68,0.66,0.92,1.0,0.88,1.62,1.01,1.05,1.13,0.9,0.93,0.63
c_1,0.74,0.76,0.65,2.4,1.34,0.68,0.83,0.84,0.53,0.84,0.6,0.87,0.86,0.85,0.95,0.97
b_1,0.73,0.78,0.69,0.75,2.5,1.45,0.94,0.89,0.74,0.85,0.56,0.92,0.88,0.67,0.84,1.12
a_1,0.86,0.87,0.78,0.75,0.71,3.14,1.03,1.03,0.86,0.9,1.05,0.98,1.08,0.62,1.02,0.88
h_1,1.1,0.85,0.86,0.82,0.77,0.77,2.02,1.2,1.09,0.84,1.0,1.09,0.75,1.12,1.3,1.08
g_1,0.75,1.29,0.67,0.77,0.84,0.65,1.05,2.36,1.18,0.82,1.17,1.56,1.19,1.06,0.83,1.39
c_0,0.9,1.03,0.73,0.71,0.62,0.76,1.07,1.17,1.76,0.96,2.22,1.18,1.18,1.5,1.08,1.19
d_0,0.81,0.45,0.74,1.65,0.87,0.78,0.96,1.17,0.75,1.66,1.1,1.11,1.08,1.06,1.1,1.21
b_0,0.82,1.05,0.79,0.93,0.45,0.56,1.18,1.08,1.13,1.19,2.04,1.21,1.25,2.56,1.19,1.14
f_0,0.73,0.95,0.76,0.91,0.74,0.86,1.14,1.09,1.02,1.09,1.07,2.03,1.17,1.22,1.19,2.58
h_0,0.99,0.98,0.77,0.88,0.82,0.76,0.77,1.3,1.07,1.08,1.19,0.99,0.8,1.3,1.43,1.16
a_0,0.82,0.85,0.82,0.95,0.75,0.52,1.17,1.12,1.05,1.12,1.16,1.28,1.37,2.55,1.21,1.39
g_0,0.83,1.22,0.74,0.79,0.85,0.74,1.0,0.87,1.27,1.03,1.08,1.63,1.02,1.29,0.91,1.38
e_0,0.82,1.02,0.65,0.89,0.94,0.81,1.2,0.99,1.02,0.98,1.16,1.03,1.12,1.17,1.14,2.61
