,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,6.69,11.77,10.66,8.31,7.83,3.47,2.6,2.57,1.98,2.52,2.9,2.04,2.09,,2.35
f_1,10.16,1.07,6.98,10.41,11.06,9.65,2.36,3.1,3.07,2.45,3.41,,1.43,3.46,2.2,2.02
c_1,8.06,12.03,1.07,14.32,9.93,6.69,3.16,1.94,4.0,,2.57,3.08,2.21,2.86,2.17,1.88
d_1,9.27,8.79,10.19,1.07,9.4,10.12,3.41,,2.88,3.57,2.19,3.61,2.07,2.25,2.44,1.61
b_1,11.94,9.37,6.62,10.61,1.07,12.16,4.16,3.22,4.47,3.81,,2.66,2.58,2.79,4.09,2.65
a_1,16.88,13.46,15.53,16.8,7.54,1.07,4.49,5.22,4.93,3.25,6.37,3.92,4.6,,3.33,4.03
h_1,18.44,16.92,14.76,14.89,14.5,12.55,1.41,2.97,5.7,3.79,3.94,3.19,,5.3,2.9,4.75
d_0,11.08,13.82,16.1,,13.99,10.92,6.87,1.7,4.47,3.89,3.98,3.81,3.93,2.89,3.94,2.9
g_1,20.95,16.9,15.99,15.74,15.91,15.23,5.01,6.77,1.41,5.4,5.8,4.12,2.73,5.28,5.39,
c_0,18.46,16.71,,8.06,15.34,16.09,6.34,5.85,5.39,1.74,5.16,3.94,3.0,3.52,3.89,3.61
b_0,14.28,15.28,20.11,18.92,,11.17,5.94,4.27,4.97,3.76,1.71,5.95,3.21,5.21,4.53,2.62
f_0,15.94,,17.01,14.01,17.79,15.12,10.38,4.97,4.8,5.48,3.86,1.76,4.01,6.71,5.37,2.79
h_0,17.25,19.59,16.29,15.61,14.42,12.86,,4.08,7.21,5.18,6.08,4.48,,3.66,3.49,2.75
a_0,19.76,17.46,19.42,18.29,23.3,,7.63,10.87,7.72,5.54,4.51,4.46,5.78,1.78,,5.04
e_0,,32.26,21.93,25.85,18.15,18.18,7.32,6.81,6.67,7.89,5.59,3.79,5.23,,1.74,4.5
g_0,20.45,17.48,20.04,20.47,17.32,16.29,4.69,8.46,,5.65,5.82,5.8,3.51,3.94,4.37,
