,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.48,1.1,0.68,0.63,0.57,0.46,0.79,0.87,0.84,0.9,0.86,0.41,1.03,0.97,0.89,0.66
e_1,0.72,2.53,0.59,0.75,0.6,0.61,0.86,1.73,0.92,0.88,1.06,1.1,1.02,0.86,1.07,0.65
d_1,0.8,0.61,2.73,0.48,0.61,0.58,0.9,0.39,0.96,1.82,1.08,0.97,0.99,1.2,0.93,1.05
c_1,0.63,0.58,0.65,2.81,1.2,0.56,0.83,0.76,0.83,0.35,0.66,1.08,0.86,0.94,0.91,0.86
b_1,0.62,0.59,0.59,0.71,3.07,1.37,0.92,0.96,0.82,0.79,0.44,0.87,0.74,0.62,0.92,0.95
a_1,0.69,0.68,0.68,0.72,0.5,4.61,1.3,0.97,0.97,0.8,1.12,0.78,1.1,0.55,0.81,0.98
h_1,1.06,0.75,0.94,0.85,0.7,0.61,2.72,0.85,1.42,0.89,1.15,1.0,0.75,0.92,1.56,1.12
d_0,0.72,0.66,0.39,1.66,0.94,0.87,1.19,2.13,0.87,0.76,1.16,1.21,0.97,0.86,1.38,1.57
g_1,0.8,0.73,1.36,0.64,0.72,0.6,0.98,0.93,3.3,1.35,1.08,2.04,1.34,1.27,0.74,1.14
c_0,0.88,0.91,0.87,0.57,0.59,0.79,1.01,1.05,1.14,2.26,2.41,1.38,1.45,1.34,1.25,1.24
b_0,0.85,0.83,1.02,0.88,0.46,0.61,1.19,1.05,1.05,1.24,2.25,1.11,1.42,2.34,1.14,1.45
f_0,0.52,0.61,0.95,0.93,0.89,0.75,1.17,1.3,1.21,1.23,1.48,2.55,1.35,1.43,1.12,2.96
h_0,1.13,0.82,0.94,0.74,0.75,0.65,0.66,1.01,1.39,1.11,1.23,1.03,0.66,1.18,1.49,1.17
a_0,0.74,0.87,1.01,0.88,0.83,0.58,1.3,1.02,1.11,0.95,1.15,1.17,1.14,2.87,1.5,0.94
g_0,0.7,0.64,1.31,0.97,0.68,0.67,1.18,1.07,0.72,1.06,1.29,1.93,1.0,1.11,0.86,1.32
e_0,0.8,0.41,0.83,1.0,0.94,0.88,1.15,1.15,1.09,1.08,1.49,1.41,1.68,1.15,1.38,3.43
