,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.0,0.77,0.69,0.93,0.76,0.78,0.96,0.9,1.59,0.77,1.02,0.96,1.01,1.08,0.8,1.0
f_1,1.3,2.07,0.64,0.74,0.59,0.66,0.88,0.78,0.94,0.89,0.62,0.99,0.92,0.78,0.68,0.96
d_1,0.67,0.83,2.29,0.59,0.61,0.65,1.0,0.97,0.49,1.78,1.02,1.31,1.08,1.16,1.08,1.12
c_1,0.7,0.74,0.64,2.26,1.44,0.69,0.91,0.9,0.85,0.45,0.91,0.61,0.94,0.89,0.96,0.84
b_1,0.64,0.73,0.77,0.73,2.59,1.41,0.86,1.01,0.98,0.82,0.99,0.56,0.92,0.73,0.9,0.8
a_1,0.76,0.71,0.92,0.93,0.71,3.44,1.1,0.9,1.03,1.02,0.99,0.92,0.97,0.62,0.94,0.92
h_1,0.74,1.13,0.94,0.8,0.62,0.72,2.19,1.6,0.99,0.99,1.06,1.03,0.86,1.03,1.12,1.36
g_1,0.71,0.8,1.34,0.77,0.76,0.73,0.97,2.41,0.81,1.13,1.64,0.94,1.04,1.17,1.38,1.01
d_0,0.85,0.91,0.53,1.52,0.92,0.66,0.96,0.88,1.54,0.66,0.94,0.98,1.15,1.15,1.05,0.93
c_0,0.81,0.94,0.98,0.68,0.53,0.84,1.13,0.98,1.1,1.84,1.26,2.14,1.2,1.26,1.23,1.28
f_0,0.69,0.72,1.04,0.91,0.85,0.83,1.13,1.14,1.14,1.12,2.12,1.3,1.09,1.07,2.56,1.27
b_0,0.85,0.98,0.89,0.88,0.54,0.65,0.97,1.09,1.09,1.1,1.17,1.98,1.18,2.34,1.08,1.23
h_0,0.82,1.2,1.06,0.73,0.76,0.69,0.71,1.42,0.77,1.19,1.0,1.03,0.87,1.07,0.95,1.38
a_0,0.76,0.91,0.92,0.89,0.83,0.67,1.17,1.11,0.99,1.16,1.03,1.22,1.27,2.28,1.08,1.17
e_0,0.66,0.99,0.96,0.88,0.85,0.63,1.19,1.22,1.06,1.21,1.02,1.39,1.28,1.08,2.43,1.2
g_0,0.74,0.79,1.47,0.75,0.7,0.65,1.05,0.8,0.87,1.12,1.7,1.21,1.1,1.25,1.42,0.89
