,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,96.52,77.65,74.91,115.68,163.36,424.53,11479.95,29574.64,17883.66,19952.56,39578.27,47650.78,100719.73,119846.54,146929.32,164981.86
f_1,50.47,111.67,112.46,118.91,134.18,393.75,9012.6,15224.79,16712.61,23168.81,28702.59,29747.97,80725.48,95935.94,137451.58,108884.47
e_1,51.52,59.32,121.88,146.66,162.76,391.16,9265.86,16688.99,16344.12,33710.34,31855.24,48228.66,93705.52,103412.98,146916.75,116406.16
c_1,49.84,52.21,53.97,183.87,210.82,303.23,6246.98,11020.15,13208.08,15583.21,17765.17,30811.31,71103.45,72588.31,110816.7,123417.03
b_1,44.4,51.21,51.42,69.05,223.74,565.52,7864.67,14400.01,13465.32,15116.58,21788.74,36376.02,67382.33,73948.31,116105.48,103742.14
a_1,32.15,40.52,40.66,78.16,68.11,507.1,5715.29,9630.8,10751.44,11846.52,19082.4,24453.65,52408.91,45070.77,92176.62,70291.17
h_1,13.67,19.57,17.97,36.23,31.92,89.87,3350.91,4293.75,5620.07,5298.49,7025.33,10563.71,18917.43,24199.39,41219.91,34231.32
c_0,10.85,15.72,16.5,23.1,27.97,93.13,2219.95,4820.12,4128.13,5041.4,11142.3,8815.7,20351.37,28518.12,33286.39,31980.43
g_1,14.76,13.08,13.46,26.06,29.05,74.2,1766.34,3564.4,5405.57,3659.21,5876.09,10679.51,17346.1,21362.07,24627.71,32425.3
d_0,9.32,12.79,12.4,37.09,35.32,85.88,1860.06,2866.62,3370.37,5478.63,6167.09,7871.97,17374.41,18703.76,28214.55,24298.69
b_0,9.58,12.8,13.93,26.26,21.85,62.53,1789.09,2764.48,3318.25,3820.1,7281.98,8431.61,16475.77,31926.87,27478.45,28857.56
f_0,9.79,9.92,9.5,22.16,25.36,66.05,1620.26,3014.56,3092.15,3384.68,4857.27,9503.63,15058.61,19504.11,21639.07,39785.06
h_0,7.74,11.0,9.7,16.58,20.86,49.7,1197.95,2181.45,2613.74,2866.42,3978.87,5429.35,10708.54,13765.94,23616.22,18031.68
a_0,6.98,8.52,9.01,16.37,18.17,36.33,1390.5,2048.45,2167.34,2578.1,3147.59,5116.56,11781.82,18443.29,20107.64,19470.96
g_0,8.56,7.07,7.1,14.41,16.32,40.58,1035.44,2091.69,2010.28,2098.61,3273.93,6862.02,9341.58,10972.87,16008.03,17386.17
e_0,6.14,8.77,7.08,13.59,15.62,46.98,1175.14,2056.97,2092.6,2585.03,3356.93,3765.68,10682.22,10449.91,14509.3,22256.24
