,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.87,1.49,1.48,1.3,1.35,0.71,0.75,0.75,0.54,0.55,0.66,0.61,0.47,0.91,0.5
f_1,1.3,0.4,1.39,1.34,1.2,1.12,0.51,0.72,0.58,0.64,0.58,1.07,0.54,0.36,0.48,0.53
c_1,1.2,1.13,0.39,1.5,1.44,1.27,0.88,0.69,0.37,0.55,1.1,0.61,0.54,0.47,0.58,0.55
d_1,1.26,1.43,1.26,0.39,1.44,1.29,0.62,0.48,1.58,0.57,0.69,0.56,0.49,0.44,0.6,0.3
b_1,1.42,1.38,0.86,1.2,0.37,1.66,0.68,0.73,0.53,1.25,0.71,0.46,0.56,0.52,0.64,0.73
a_1,1.12,1.6,1.39,1.31,0.77,0.32,0.91,0.78,0.64,0.8,0.59,0.74,1.38,0.58,0.6,0.49
h_1,1.06,1.35,0.89,0.85,0.91,0.69,0.26,0.59,0.51,0.4,0.37,0.42,0.48,0.65,0.46,0.46
g_1,1.04,1.0,0.95,0.94,1.19,0.88,0.4,0.23,0.45,0.46,0.42,0.49,0.45,0.32,0.45,0.6
d_0,0.62,0.92,1.16,1.17,1.19,0.94,0.55,0.63,0.27,0.54,0.38,0.44,0.42,0.44,0.47,0.45
b_0,1.0,0.92,1.14,0.78,1.91,0.94,0.49,0.53,0.39,0.26,0.27,0.46,0.55,0.4,0.38,0.34
c_0,1.05,0.93,2.35,0.58,0.9,1.22,0.62,0.55,0.55,0.47,0.27,0.48,0.45,0.5,0.48,0.37
f_0,1.03,2.49,0.79,0.87,1.11,1.01,0.56,0.37,0.45,0.36,0.39,0.23,0.44,0.43,0.43,0.25
a_0,0.88,1.15,0.9,1.12,1.1,1.03,0.47,0.76,0.48,0.23,0.33,0.39,0.22,0.37,0.31,0.34
h_0,1.02,0.99,0.94,1.09,0.82,0.82,0.81,0.58,0.38,0.39,0.36,0.42,0.38,0.73,0.31,0.37
e_0,1.66,1.16,0.95,0.8,1.03,0.88,0.38,0.5,0.41,0.42,0.38,0.27,0.5,0.45,0.21,0.35
g_0,0.89,1.1,0.87,1.28,0.76,0.97,0.41,0.79,0.44,0.4,0.42,0.46,0.38,0.34,0.4,0.5
