,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,2.31,0.48,0.56,0.38,0.43,0.39,0.93,0.37,0.76,1.82,1.13,1.08,1.27,0.99,0.91,1.27
e_1,0.41,2.32,0.51,0.61,0.41,0.41,0.84,1.97,0.78,0.89,0.95,1.1,1.36,0.92,0.42,1.04
f_1,0.52,0.88,2.35,0.48,0.32,0.36,0.81,0.92,0.81,0.99,0.35,0.88,0.99,0.79,0.53,0.83
c_1,0.48,0.49,0.52,2.4,0.78,0.28,0.76,1.03,0.65,0.33,0.94,0.65,1.35,0.71,0.69,1.3
b_1,0.52,0.43,0.44,0.51,2.63,0.75,0.91,0.89,0.68,0.89,0.9,0.36,1.04,0.53,0.9,1.29
a_1,0.53,0.49,0.38,0.45,0.5,3.0,0.95,1.27,0.89,1.11,1.24,1.04,1.36,0.33,1.1,1.08
h_1,0.67,0.46,0.93,0.65,0.46,0.34,3.04,1.16,1.34,1.1,0.97,1.1,0.83,1.04,0.98,1.7
d_0,0.37,0.57,0.58,1.22,0.61,0.5,1.05,2.39,0.76,0.81,1.14,1.07,1.46,0.74,0.87,1.3
g_1,0.95,0.53,0.51,0.51,0.5,0.41,0.74,1.26,3.33,1.05,1.82,1.23,1.69,1.12,1.17,0.67
c_0,0.65,0.58,0.76,0.36,0.4,0.41,1.3,1.41,0.91,2.64,1.28,2.71,1.73,1.23,1.2,1.84
f_0,0.69,0.49,0.38,0.71,0.58,0.47,1.08,1.4,1.2,1.05,2.69,1.32,1.8,1.16,2.22,1.37
b_0,0.72,0.58,0.82,0.67,0.19,0.29,1.04,1.38,0.94,1.06,1.31,2.68,1.82,2.17,1.16,1.27
h_0,0.76,0.56,0.94,0.56,0.48,0.39,0.6,1.23,1.12,1.07,1.21,1.22,0.97,0.86,1.02,1.7
a_0,0.76,0.56,0.72,0.55,0.43,0.18,1.31,1.33,0.75,1.35,1.53,1.07,1.73,2.98,1.27,1.5
e_0,0.84,0.24,0.67,0.68,0.46,0.45,1.31,1.35,0.96,1.2,1.3,1.21,1.86,1.19,3.04,1.64
g_0,1.04,0.49,0.6,0.51,0.5,0.42,1.08,0.98,0.68,1.21,2.04,1.42,1.77,1.1,1.03,1.1
