,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,0.45,0.58,0.64,0.62,0.58,0.3,0.33,0.36,0.27,0.28,0.35,0.25,0.23,0.3,0.25
f_1,0.65,0.4,0.56,0.61,0.55,0.47,0.25,0.3,0.34,0.25,0.25,0.3,0.27,0.2,0.23,0.23
d_1,0.65,0.63,0.39,0.59,0.55,0.57,0.33,0.32,0.23,0.29,0.29,0.24,0.28,0.2,0.23,0.17
c_1,0.5,0.6,0.71,0.38,0.66,0.57,0.33,0.18,0.31,0.28,0.23,0.25,0.27,0.23,0.26,0.22
b_1,0.57,0.71,0.69,0.41,0.36,0.65,0.33,0.26,0.32,0.35,0.29,0.25,0.27,0.25,0.28,0.21
a_1,0.6,0.67,0.67,0.57,0.38,0.3,0.38,0.28,0.38,0.3,0.34,0.26,0.3,0.27,0.24,0.25
h_1,0.58,0.61,0.54,0.58,0.56,0.48,0.23,0.27,0.3,0.25,0.23,0.24,0.24,0.25,0.24,0.23
d_0,0.41,0.53,0.67,0.7,0.61,0.59,0.33,0.22,0.35,0.23,0.27,0.25,0.27,0.24,0.29,0.24
g_1,0.51,0.58,0.58,0.61,0.57,0.54,0.27,0.25,0.2,0.26,0.24,0.27,0.28,0.17,0.27,0.25
c_0,0.61,0.63,0.41,0.76,0.57,0.56,0.34,0.34,0.29,0.21,0.31,0.25,0.28,0.22,0.26,0.22
b_0,0.52,0.59,0.49,0.74,0.72,0.53,0.34,0.25,0.28,0.17,0.21,0.23,0.31,0.23,0.22,0.23
f_0,0.48,0.72,0.56,0.58,0.57,0.52,0.32,0.27,0.22,0.25,0.27,0.2,0.25,0.21,0.3,0.17
a_0,0.58,0.55,0.52,0.57,0.66,0.63,0.3,0.26,0.28,0.22,0.16,0.25,0.19,0.22,0.24,0.22
h_0,0.56,0.58,0.58,0.55,0.57,0.55,0.33,0.26,0.32,0.24,0.24,0.25,0.24,0.23,0.23,0.23
e_0,0.64,0.7,0.53,0.56,0.5,0.52,0.3,0.27,0.25,0.27,0.26,0.16,0.24,0.22,0.18,0.18
g_0,0.52,0.59,0.62,0.54,0.62,0.56,0.26,0.29,0.31,0.25,0.26,0.25,0.28,0.18,0.25,0.24
