,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.54,1.11,1.1,0.86,0.93,0.78,1.14,0.95,1.77,1.1,1.36,1.12,1.33,1.22,1.0,0.93
e_1,0.95,1.54,0.93,1.19,0.94,0.84,1.33,1.12,1.19,1.76,1.25,1.26,1.27,1.29,1.1,0.96
f_1,0.96,1.42,1.55,1.04,0.95,0.75,1.04,1.01,1.02,1.18,1.02,0.94,1.12,1.09,0.98,0.77
c_1,1.08,0.92,1.07,1.58,1.48,0.88,1.14,1.15,0.83,0.96,0.82,0.99,1.33,1.18,0.88,1.05
b_1,1.12,1.02,1.11,0.9,1.63,1.49,1.12,1.09,1.16,1.22,0.96,1.15,1.32,1.21,0.72,1.07
a_1,1.19,1.13,1.17,1.09,0.88,1.77,1.34,1.24,1.43,1.4,1.56,1.31,1.54,1.11,1.04,1.05
h_1,1.38,1.15,1.52,1.15,1.2,0.98,1.89,1.68,1.48,1.32,1.49,1.47,1.41,1.72,1.33,1.3
g_1,1.79,1.28,1.34,1.09,1.18,0.94,1.32,1.94,1.52,1.2,1.48,1.65,1.47,1.33,1.33,1.32
c_0,1.3,1.4,1.54,1.21,1.02,0.91,1.62,1.38,1.86,1.59,2.25,1.48,1.79,1.59,1.67,1.4
d_0,1.14,1.13,1.42,1.95,1.21,0.98,1.49,1.49,1.06,1.8,1.29,1.37,1.66,1.59,1.34,1.45
b_0,1.33,1.3,1.48,1.63,1.11,0.69,1.51,1.42,1.31,1.64,1.89,1.33,1.86,1.62,2.32,1.35
f_0,1.55,1.22,1.31,1.45,1.15,1.06,1.5,1.5,1.62,1.69,1.63,1.89,1.88,1.55,1.39,2.1
h_0,1.46,1.43,1.77,1.34,1.16,1.05,1.32,1.72,1.5,1.52,1.47,1.28,1.49,1.99,1.14,1.36
g_0,1.78,1.3,1.45,1.34,1.26,1.26,1.52,1.39,1.66,1.51,1.65,2.06,1.52,1.57,1.36,1.5
a_0,1.48,1.36,1.49,1.62,1.56,0.91,1.68,1.42,1.44,1.47,1.26,1.57,2.05,1.81,1.95,1.36
e_0,1.5,1.21,1.66,1.4,1.36,1.16,1.66,1.54,1.5,1.44,1.69,1.31,2.02,1.6,1.47,1.95
