,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,10761.63,132.33,192.6,234.71,463.16,,186486.94,404578.64,903777.01,,1003798.19,1279714.32,6089160.39,4617948.99,5216923.87,10482358.1
e_1,104.48,11932.92,154.77,368.58,371.46,2273.6,142765.99,374253.67,420561.16,1586631.88,1110001.61,806804.85,6215449.03,5257616.17,,8097116.63
f_1,145.11,278.46,12935.2,412.02,514.76,1882.64,140687.28,301640.69,510109.27,737092.73,1070174.86,,6158446.05,4053289.06,4162749.32,5289795.53
c_1,169.95,197.5,149.35,28490.86,904.27,1503.26,185355.96,383973.54,,863219.68,779076.41,1463161.96,5547879.12,,,11701579.78
b_1,135.68,155.53,162.96,272.33,52214.74,,209223.33,416079.27,528521.0,822126.55,,1032228.81,3339867.79,3409696.23,6328209.64,10488971.44
a_1,,171.59,178.23,238.98,,260360.35,136247.43,454245.08,351855.28,1007761.91,738168.66,1779335.23,6908636.18,,,9643028.09
h_1,524.87,455.85,766.67,1050.88,2475.79,7888.57,7718016.13,1997433.84,1657713.47,3323543.57,3129994.01,3912100.07,,13291809.98,18352687.39,51825771.95
g_1,794.32,488.99,318.0,1447.73,2139.36,5548.12,482376.01,23023053.21,2200237.88,2297525.38,3750460.0,7204487.92,20475666.74,12863853.98,21798556.12,
c_0,748.81,790.24,920.74,,1901.54,9052.35,686538.02,1585518.73,15139656.91,4177079.14,10927286.6,6490157.17,34999131.05,19489569.29,19920577.08,41449802.22
d_0,,612.97,901.64,3083.89,3064.89,10030.98,858920.71,1903336.67,2385631.53,26100472.76,5004894.15,5666263.35,27324260.17,17482921.23,31368533.18,39369310.22
b_0,640.98,962.29,819.49,1148.8,,5499.12,924620.9,1685547.99,3221646.15,2960405.42,33793982.29,4105557.0,30442255.83,46281743.23,15807018.91,60088419.61
f_0,834.3,583.88,,1277.92,2235.21,12209.17,981797.11,1627070.9,2736691.64,4000779.18,4664883.1,44320914.33,33304264.68,26286158.96,47771225.8,34636530.21
h_0,900.07,1286.91,1813.27,2381.31,5208.03,7721.89,,4303374.43,4523853.58,6424482.19,4270832.95,7046167.52,,31738854.67,30733344.81,79554981.71
a_0,568.93,663.61,863.11,,1887.17,,1041467.24,1775271.57,4199008.19,2923116.63,4159917.07,7266890.84,37406519.25,204192094.5,,37294120.67
e_0,859.13,,810.72,,1933.77,,838500.52,1591717.26,2748939.18,5391526.23,3761145.07,7446320.25,31485469.69,,247198958.37,45857955.79
g_0,1841.0,910.71,1184.49,1826.52,3346.9,18281.46,1225081.93,,4610022.22,4920837.43,4567104.72,16681691.46,29334288.53,29091950.94,25132323.71,
