,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.19,0.91,0.98,0.81,0.74,0.93,0.59,0.65,0.63,0.71,0.61,0.61,0.55,0.61
f_1,1.26,1.0,0.95,0.89,0.92,0.83,0.56,0.67,0.6,0.64,0.62,0.55,0.54,0.49,0.47,0.57
c_1,0.84,1.05,1.0,1.15,1.19,0.83,0.73,0.47,0.61,0.65,0.58,0.63,0.51,0.6,0.6,0.58
d_1,1.08,1.15,0.83,1.0,0.93,0.83,0.75,0.62,0.85,0.58,0.71,0.64,0.63,0.61,0.56,0.42
b_1,1.01,1.09,0.85,1.07,1.0,1.2,0.75,0.65,0.75,0.64,0.59,0.58,0.57,0.64,0.57,0.63
a_1,1.23,1.2,1.2,1.21,0.84,1.0,0.91,0.87,0.72,0.83,0.71,0.73,0.78,0.73,0.77,0.75
h_1,1.4,1.81,1.43,1.34,1.32,1.05,1.0,0.94,0.83,1.11,0.93,0.85,0.83,0.85,0.77,0.86
d_0,1.09,1.45,2.21,1.51,1.56,1.09,1.03,1.0,0.84,1.18,0.81,0.84,0.81,0.9,0.82,0.85
c_0,1.61,1.69,1.74,1.19,1.37,1.33,1.17,1.15,1.0,1.1,1.3,1.09,0.92,0.89,0.76,0.78
g_1,1.53,1.59,1.5,1.84,1.55,1.21,0.88,0.84,0.94,1.0,0.92,1.11,0.87,0.75,0.95,0.82
b_0,1.57,1.6,1.78,1.42,1.57,1.53,1.09,1.22,0.79,1.1,1.0,0.99,1.26,0.89,0.93,0.95
f_0,1.33,1.75,1.57,1.6,1.72,1.39,1.24,1.12,0.95,0.89,1.04,1.0,1.0,1.04,1.35,0.7
a_0,1.61,1.78,2.01,1.61,1.81,1.26,1.25,1.23,1.04,1.18,0.8,1.03,1.0,1.05,0.92,1.0
h_0,1.6,2.04,1.7,1.6,1.57,1.46,1.18,1.07,1.12,1.31,1.06,0.96,0.95,1.0,0.93,1.2
e_0,1.72,2.16,1.67,1.7,1.75,1.22,1.32,1.18,1.21,1.1,1.12,0.75,1.06,1.03,1.0,1.08
g_0,1.67,1.71,1.72,2.29,1.6,1.32,1.2,1.13,1.25,1.2,1.0,1.38,0.99,0.84,0.92,1.0
