,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.84,1.64,1.37,2.15,4.2,25.47,38.91,36.36,57.1,62.74,84.46,100.87,101.52,128.43,180.41
f_1,1.21,1.0,1.34,1.52,1.88,3.3,18.37,32.22,36.22,51.55,56.45,60.64,80.7,103.82,97.96,148.59
c_1,0.6,0.75,1.0,1.42,1.94,2.85,17.64,16.2,26.29,34.47,42.62,47.42,70.67,66.26,89.02,100.85
d_1,0.73,0.66,0.7,1.0,1.17,2.64,15.61,19.56,34.24,42.38,33.51,46.92,61.64,65.96,69.33,76.18
b_1,0.47,0.53,0.53,0.84,1.0,3.25,12.55,15.72,21.98,33.92,30.75,39.24,51.9,51.15,57.94,68.77
a_1,0.24,0.3,0.34,0.38,0.32,1.0,6.36,7.67,11.91,18.26,15.21,17.89,29.11,29.26,31.19,41.73
h_1,0.04,0.05,0.06,0.07,0.08,0.15,1.0,1.14,1.67,2.45,2.87,3.16,3.79,4.01,4.65,6.97
d_0,0.03,0.03,0.06,0.05,0.07,0.13,0.9,1.0,1.14,1.86,2.29,2.31,3.33,3.09,4.16,5.69
c_0,0.03,0.03,0.04,0.03,0.04,0.09,0.57,0.84,1.0,1.79,1.6,1.88,2.53,2.64,2.58,3.49
b_0,0.02,0.02,0.03,0.02,0.03,0.05,0.42,0.54,0.57,1.0,1.1,1.16,1.7,2.57,1.94,2.86
g_1,0.02,0.02,0.02,0.03,0.03,0.06,0.37,0.45,0.62,0.92,1.0,1.34,1.29,1.59,1.68,2.51
f_0,0.01,0.02,0.02,0.02,0.03,0.05,0.33,0.42,0.54,0.82,0.78,1.0,1.41,1.35,2.29,1.63
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.27,0.29,0.39,0.62,0.76,0.71,1.0,1.09,1.07,1.72
a_0,0.01,0.01,0.02,0.01,0.02,0.03,0.26,0.33,0.36,0.38,0.63,0.73,0.92,1.0,1.14,1.55
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.21,0.25,0.38,0.52,0.61,0.44,0.97,0.94,1.0,1.3
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.18,0.27,0.34,0.4,0.61,0.58,0.66,0.73,1.0
