,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.35,0.89,0.9,0.62,0.76,0.6,1.55,1.43,3.12,1.27,2.16,1.76,2.36,2.26,1.44,1.24
e_1,0.73,2.35,0.87,0.96,0.73,0.65,1.65,1.37,1.76,2.95,1.84,1.78,2.03,2.0,1.43,0.98
f_1,0.8,1.43,2.38,0.86,0.7,0.55,1.48,1.17,1.44,1.66,1.54,1.01,1.94,1.57,1.25,1.03
c_1,0.82,0.72,0.85,2.48,1.43,0.59,1.38,1.32,0.77,1.53,0.93,1.29,2.24,1.87,1.25,1.51
b_1,0.86,0.81,0.92,0.81,2.62,1.38,1.3,1.24,1.42,1.6,0.99,1.52,2.09,1.87,0.83,1.35
a_1,0.95,0.9,0.89,0.82,0.74,3.11,1.59,1.39,1.88,1.76,1.76,1.74,2.32,1.59,0.9,1.25
h_1,1.06,0.77,1.23,0.75,0.85,0.67,3.33,2.19,2.04,1.66,1.69,1.78,1.71,2.77,1.62,1.75
g_1,1.57,0.79,0.93,0.75,0.79,0.61,1.53,3.62,1.79,1.21,1.73,2.33,2.11,1.66,1.7,1.72
c_0,1.08,0.98,1.13,0.66,0.61,0.63,1.81,1.57,3.13,1.86,3.54,1.81,2.58,2.35,2.24,1.54
d_0,0.68,0.84,1.05,1.64,0.76,0.65,1.74,1.4,1.16,3.01,1.51,1.75,2.36,2.32,1.57,1.73
b_0,1.04,0.94,1.11,1.05,0.57,0.44,1.79,1.59,1.97,2.07,3.27,1.62,2.7,2.38,3.43,1.66
f_0,1.15,0.85,0.77,1.01,0.78,0.66,1.77,1.69,1.91,1.9,1.97,3.17,2.6,2.35,1.56,3.14
h_0,1.06,0.94,1.36,0.93,0.69,0.64,1.18,1.94,1.74,1.82,1.74,1.39,1.68,3.06,1.27,1.64
g_0,1.38,0.85,0.87,0.83,0.76,0.8,1.64,1.17,2.03,1.74,1.87,2.82,2.23,1.87,1.56,1.78
a_0,1.04,0.85,1.04,1.14,0.93,0.37,1.49,1.68,1.71,1.81,1.73,1.76,2.97,2.53,3.52,1.56
e_0,1.02,0.68,1.1,0.94,0.84,0.7,1.89,1.61,1.71,1.71,1.92,2.01,2.9,2.3,1.74,3.5
