,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.95,0.81,0.51,0.53,0.46,0.29,0.33,0.29,0.35,0.32,0.31,0.24,0.29,0.23,0.17,0.26
e_1,0.54,0.95,0.69,0.48,0.49,0.33,0.39,0.36,0.55,0.34,0.34,0.32,0.32,0.24,0.19,0.3
c_1,0.58,0.49,0.95,0.62,0.73,0.37,0.38,0.32,0.29,0.2,0.25,0.29,0.34,0.24,0.25,0.27
d_1,0.63,0.6,0.45,0.95,0.52,0.34,0.39,0.28,0.26,0.53,0.39,0.31,0.33,0.3,0.26,0.26
b_1,0.64,0.57,0.53,0.52,0.95,0.67,0.41,0.34,0.37,0.39,0.25,0.32,0.31,0.25,0.27,0.29
a_1,0.79,0.71,0.63,0.73,0.45,0.94,0.5,0.38,0.39,0.4,0.41,0.33,0.37,0.24,0.26,0.26
h_1,1.04,0.79,0.8,0.89,0.7,0.45,0.78,0.58,0.48,0.5,0.46,0.39,0.43,0.36,0.35,0.56
g_1,0.9,0.69,0.89,1.24,0.71,0.57,0.54,0.77,0.5,0.53,0.5,0.65,0.47,0.45,0.46,0.39
d_0,0.89,0.75,1.47,0.72,0.85,0.56,0.59,0.51,0.68,0.39,0.51,0.46,0.55,0.36,0.4,0.52
c_0,1.09,0.92,0.89,0.83,0.64,0.64,0.68,0.5,0.61,0.69,0.83,0.48,0.55,0.48,0.43,0.41
b_0,1.11,0.93,1.08,0.88,0.61,0.56,0.65,0.53,0.55,0.49,0.7,0.46,0.6,0.67,0.39,0.49
f_0,0.92,0.8,1.11,0.9,0.82,0.69,0.76,0.52,0.64,0.57,0.49,0.7,0.58,0.34,0.71,0.47
h_0,1.3,1.06,0.97,0.98,0.84,0.61,0.49,0.71,0.55,0.57,0.51,0.55,0.52,0.45,0.36,0.6
a_0,1.13,1.11,1.0,0.94,0.9,0.65,0.73,0.47,0.51,0.6,0.52,0.54,0.61,0.67,0.36,0.5
e_0,1.3,0.83,1.03,0.95,0.99,0.74,0.73,0.63,0.66,0.55,0.59,0.54,0.71,0.49,0.66,0.55
g_0,1.01,0.9,1.03,1.33,0.94,0.71,0.63,0.6,0.53,0.67,0.56,0.72,0.58,0.46,0.46,0.44
