,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.45,1.42,1.4,1.61,2.0,1.55,0.33,0.31,0.53,0.31,0.35,0.59,0.18,0.3,0.32,0.32
e_1,1.03,0.44,1.7,1.85,1.63,1.76,0.62,0.38,0.59,0.45,0.31,0.43,0.28,0.38,0.89,0.33
d_1,1.94,1.99,0.42,1.97,1.54,1.51,0.44,0.88,0.31,0.34,0.3,0.26,0.27,0.28,0.31,0.16
c_1,1.62,1.51,2.84,0.41,1.71,1.72,0.53,0.19,0.53,0.68,0.36,0.38,0.27,0.35,0.37,0.29
b_1,2.01,2.41,2.08,1.04,0.38,2.07,0.68,0.46,0.55,0.49,1.06,0.32,0.31,0.4,0.34,0.26
a_1,2.84,2.25,2.23,2.9,1.05,0.33,0.79,0.58,0.69,0.52,0.67,0.5,0.3,1.26,0.57,0.38
h_1,2.68,2.75,2.59,2.69,2.76,2.65,0.33,0.6,0.91,0.53,0.52,0.6,0.63,0.48,0.5,0.36
d_0,2.98,1.65,6.05,2.93,3.55,3.29,0.94,0.38,0.97,0.79,0.59,0.7,0.45,0.73,0.56,0.56
g_1,3.28,3.36,3.12,3.58,3.39,2.72,0.61,0.83,0.3,0.5,0.55,0.53,0.37,0.69,0.51,0.51
c_0,3.78,3.47,1.56,6.46,3.87,2.97,0.96,1.0,0.98,0.35,0.63,0.66,0.48,0.56,0.58,0.46
b_0,3.49,3.73,2.92,4.32,8.09,3.22,1.01,0.86,0.79,0.39,0.36,0.71,0.48,0.66,0.64,0.44
f_0,6.96,3.98,3.52,3.99,4.46,2.9,1.28,0.78,0.58,0.73,0.7,0.34,0.49,0.66,0.64,0.31
h_0,4.62,4.19,3.25,4.0,4.98,3.11,1.65,0.89,1.25,0.78,0.78,0.64,0.82,0.81,0.7,0.63
a_0,5.6,4.1,3.1,4.0,5.75,5.41,1.29,1.09,1.13,0.68,0.4,0.71,0.58,0.33,1.12,0.53
e_0,6.27,5.83,3.49,4.51,5.56,3.4,1.02,0.78,1.05,0.71,0.66,0.37,0.51,0.88,0.3,0.56
g_0,5.27,4.76,4.44,5.82,4.14,3.59,0.96,0.92,1.65,0.86,0.85,0.78,0.54,0.91,0.66,0.81
