,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.46,35.91,31.19,30.39,34.57,39.83,7.88,8.88,6.77,6.14,5.4,,2.8,6.38,4.35,7.8
e_1,21.22,0.44,35.05,42.27,34.66,34.79,8.41,6.63,7.8,7.88,5.67,11.29,4.01,7.43,5.16,
d_1,37.59,51.74,0.44,25.62,25.73,31.31,8.32,6.91,7.49,,14.83,6.49,4.18,4.75,3.21,5.79
c_1,35.74,34.54,33.85,0.43,31.39,32.01,10.48,,8.04,4.21,8.81,6.13,4.08,6.84,5.61,6.9
b_1,37.13,44.03,28.41,24.11,0.39,43.48,10.9,10.28,8.4,7.37,,7.73,7.39,7.22,5.08,8.04
a_1,36.88,69.46,56.05,47.75,25.66,0.32,9.63,10.27,,13.44,12.5,8.55,8.2,,6.23,
h_1,17.95,18.78,15.06,14.67,15.22,16.48,0.38,2.99,4.28,3.47,6.14,3.61,,4.62,2.17,3.2
c_0,17.01,15.6,10.19,,15.64,13.79,3.96,0.5,4.19,3.44,3.15,2.61,1.89,3.41,2.64,2.08
g_1,29.45,25.32,20.38,24.7,26.22,,3.79,3.82,0.33,4.76,3.33,3.63,2.02,4.25,,
d_0,17.48,8.35,,14.53,15.74,11.8,4.19,3.13,8.14,0.5,2.78,3.19,2.27,3.0,2.69,2.48
b_0,16.67,17.22,18.68,20.75,,24.85,4.89,1.69,4.09,2.91,0.46,3.19,2.25,,2.49,4.21
f_0,,16.95,22.39,21.31,22.34,17.93,5.42,3.33,3.45,3.26,1.89,0.46,3.45,3.38,1.28,2.62
h_0,10.33,10.38,16.35,12.45,13.24,14.07,,2.11,5.05,2.62,2.67,2.49,,1.89,1.77,2.46
a_0,17.04,21.4,22.02,32.25,17.19,,8.56,4.5,6.88,2.99,,3.05,3.54,0.39,3.07,
g_0,13.2,13.6,12.92,11.6,18.5,20.26,2.51,3.76,,2.61,3.53,3.25,1.51,3.4,,2.42
e_0,27.75,,16.39,17.73,29.09,,6.9,3.98,,3.58,4.61,2.02,3.53,,3.3,0.37
