,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.91,0.39,0.36,0.26,0.25,0.17,0.3,0.51,0.24,0.26,0.25,0.26,0.29,0.17,0.12,0.21
f_1,0.58,0.91,0.29,0.25,0.26,0.17,0.26,0.3,0.21,0.23,0.23,0.13,0.28,0.17,0.11,0.22
c_1,0.28,0.31,0.9,0.25,0.51,0.23,0.26,0.3,0.27,0.16,0.17,0.23,0.26,0.14,0.16,0.2
d_1,0.32,0.38,0.22,0.91,0.24,0.18,0.29,0.18,0.24,0.52,0.3,0.26,0.32,0.23,0.19,0.2
b_1,0.32,0.32,0.32,0.29,0.89,0.38,0.23,0.25,0.22,0.21,0.14,0.25,0.31,0.12,0.15,0.21
a_1,0.33,0.37,0.31,0.34,0.21,0.89,0.29,0.28,0.25,0.29,0.29,0.24,0.29,0.15,0.16,0.21
h_1,0.39,0.54,0.3,0.31,0.25,0.17,0.61,0.28,0.28,0.3,0.28,0.26,0.22,0.23,0.17,0.27
d_0,0.32,0.37,0.61,0.2,0.37,0.19,0.3,0.5,0.23,0.21,0.26,0.27,0.33,0.17,0.2,0.24
g_1,0.31,0.36,0.31,0.49,0.27,0.17,0.28,0.32,0.58,0.33,0.33,0.4,0.31,0.22,0.22,0.15
c_0,0.42,0.41,0.23,0.37,0.19,0.18,0.36,0.29,0.26,0.52,0.6,0.3,0.38,0.29,0.22,0.27
b_0,0.4,0.4,0.33,0.33,0.18,0.19,0.4,0.32,0.27,0.29,0.51,0.32,0.32,0.44,0.21,0.28
f_0,0.28,0.29,0.36,0.35,0.29,0.29,0.31,0.34,0.29,0.35,0.34,0.51,0.34,0.27,0.42,0.27
h_0,0.43,0.52,0.34,0.31,0.27,0.2,0.22,0.26,0.33,0.24,0.29,0.26,0.25,0.2,0.19,0.29
a_0,0.4,0.37,0.38,0.34,0.24,0.16,0.32,0.36,0.26,0.31,0.32,0.27,0.38,0.43,0.23,0.23
e_0,0.25,0.39,0.37,0.35,0.32,0.21,0.31,0.3,0.24,0.34,0.34,0.31,0.39,0.23,0.44,0.28
g_0,0.38,0.29,0.28,0.53,0.34,0.2,0.32,0.26,0.22,0.3,0.27,0.45,0.38,0.21,0.23,0.19
