,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,0.66,1.41,1.17,1.28,1.18,1.03,0.44,0.55,0.52,0.44,0.61,0.49,0.28,0.42,0.38,0.43
e_1,0.88,0.66,1.32,1.38,1.31,1.22,0.65,0.63,0.59,0.49,0.62,0.58,0.4,0.51,0.74,0.41
d_1,1.46,1.45,0.65,1.23,1.22,1.09,0.56,0.44,0.81,0.51,0.4,0.42,0.38,0.38,0.47,0.27
c_1,1.41,1.24,1.54,0.63,1.54,1.33,0.59,0.61,0.3,0.53,0.46,0.41,0.4,0.47,0.45,0.36
b_1,1.63,1.28,1.65,0.92,0.62,1.62,0.74,0.7,0.53,0.61,0.49,0.8,0.52,0.44,0.49,0.39
a_1,1.88,1.92,1.8,1.92,0.92,0.56,0.71,0.73,0.55,0.74,0.67,0.76,0.55,0.87,0.55,0.48
h_1,2.23,2.01,2.1,2.12,1.66,1.6,0.57,0.93,0.81,0.66,0.64,0.71,0.74,0.64,0.56,0.66
g_1,2.21,2.08,2.25,2.09,1.97,1.68,0.81,0.56,0.76,0.83,0.85,0.71,0.45,0.81,0.77,0.63
d_0,2.25,1.41,2.62,2.86,2.02,2.48,0.99,1.11,0.6,0.77,0.82,0.74,0.66,0.8,0.57,0.75
c_0,2.47,2.27,1.43,4.1,2.23,1.99,1.27,0.97,1.14,0.6,0.74,1.03,0.68,0.9,0.87,0.56
f_0,3.15,1.94,2.19,2.33,2.5,2.15,1.25,0.8,0.76,0.87,0.58,0.73,0.74,0.8,0.91,0.48
b_0,2.3,2.1,2.09,3.33,3.47,1.89,1.13,1.05,0.94,0.49,1.05,0.57,0.67,1.13,0.68,0.65
h_0,2.86,2.42,2.33,2.87,2.31,2.01,1.66,1.48,1.05,0.91,0.95,0.87,0.94,0.83,0.72,0.84
a_0,2.49,2.52,2.6,2.84,3.49,3.57,1.29,1.01,0.92,0.77,1.06,0.54,0.75,0.57,0.87,0.72
e_0,3.12,3.1,2.44,2.36,2.53,2.43,1.29,1.05,1.29,0.83,0.58,1.03,0.99,0.89,0.56,0.63
g_0,3.12,2.68,3.18,3.05,2.97,2.46,1.04,1.66,1.11,1.01,1.01,0.94,0.66,0.88,1.04,0.98
