,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.98,0.73,0.99,0.65,0.71,0.58,0.94,1.7,0.87,0.94,0.98,1.05,1.11,1.09,0.82,0.96
f_1,1.27,2.12,0.73,0.75,0.57,0.69,0.88,0.94,0.73,0.84,0.95,0.54,0.84,0.86,0.6,0.84
c_1,0.69,0.75,2.17,0.71,1.34,0.74,0.98,0.79,0.84,0.46,0.66,0.93,0.88,0.86,0.96,0.89
d_1,0.71,0.79,0.59,2.38,0.69,0.66,0.89,0.54,1.15,1.78,1.21,1.05,1.09,1.27,1.01,1.07
b_1,0.58,0.72,0.76,0.73,2.55,1.5,0.93,0.83,0.93,0.91,0.68,0.97,0.92,0.62,1.0,1.02
a_1,0.89,0.89,0.62,0.84,0.75,3.48,1.12,0.94,0.95,0.97,1.03,0.91,1.06,0.53,1.0,1.07
h_1,0.81,1.24,0.85,0.78,0.8,0.73,2.24,1.0,1.4,0.84,0.97,1.1,0.73,1.04,1.02,1.24
d_0,0.72,0.8,1.59,0.54,0.87,0.67,1.08,1.61,1.02,0.7,1.04,1.1,0.96,0.95,1.19,1.1
g_1,0.74,0.73,0.84,1.35,0.76,0.69,0.87,0.79,2.5,1.11,1.03,1.57,1.13,0.81,1.33,0.81
c_0,0.83,0.93,0.65,1.0,0.54,0.82,1.13,1.04,1.12,1.8,2.07,1.29,1.25,1.43,1.31,1.17
b_0,0.88,0.96,0.96,0.87,0.47,0.6,1.02,1.11,1.18,1.08,1.98,1.21,1.18,2.34,1.28,1.01
f_0,0.65,0.69,0.97,1.06,0.84,0.69,1.16,1.0,1.3,0.98,1.12,2.08,1.23,1.34,2.29,1.26
h_0,0.82,1.13,0.79,1.08,0.63,0.76,0.63,1.0,1.26,1.03,1.04,0.99,0.8,1.05,1.01,1.52
a_0,0.86,1.06,0.96,0.88,0.67,0.51,0.91,1.1,0.97,1.18,1.28,1.09,1.3,2.39,1.17,1.13
e_0,0.58,0.97,0.97,0.93,0.85,0.84,1.25,0.96,1.08,1.0,1.09,1.14,1.18,1.11,2.43,1.23
g_0,0.74,0.76,0.76,1.44,0.77,0.83,1.04,0.9,0.89,1.13,1.07,1.75,1.13,0.99,1.45,0.82
